hanzi,sentence,en
面条,我喜欢吃面条。,I like eating noodles.
页,请翻到第十页。,Please turn to page ten.
餐厅,我们在餐厅吃饭。,We are eating in the dining hall.
首都机场,飞机降落在首都机场。,The plane landed at the Capital Airport.
鲜,这些水果很鲜。,These fruits are very fresh.
一时,他一时想不起来。,He couldn't remember it for a moment.
一趟,我去了一趟超市。,I made a trip to the supermarket.
不好意思,迟到了，真不好意思。,"I'm late, I'm so embarrassed."
不满,他对结果很不满。,He is very dissatisfied with the result.
也好,你不去也好。,It's fine if you don't go.
交,请把作业交给我。,Please hand your homework to me.
从来没,我从来没去过。,I have never been there.
以,他以微笑面对困难。,He faces difficulties with a smile.
低头,他低头看着手机。,"He bowed his head, looking at his phone."
各不相同,每个人的想法各不相同。,Everyone's ideas are different.
好消息,我有一个好消息告诉你。,I have good news to tell you.
手里,钱在他手里。,The money is in his hands.
新鲜感,这个城市给我新鲜感。,This city gives me a sense of freshness.
无价,友谊是无价的财富。,Friendship is a priceless treasure.
有用,这本书对我很有用。,This book is very useful to me.
每人,每人发一本书。,Everyone is given a book.
汉族,他是汉族人。,He is Han Chinese.
热量,这种食物热量很高。,This food is high in calories.
王师傅,王师傅正在修车。,Master Wang is repairing a car.
电子信箱,请发到我的电子信箱。,Please send it to my email inbox.
真心,我真心希望你快乐。,I sincerely hope you're happy.
眼前,眼前的困难会过去的。,The difficulties in front of you will pass.
离家,他离家已经三年了。,He has been away from home for three years.
科技,科技让生活更方便。,Technology makes life more convenient.
经验丰富,这位医生经验丰富。,This doctor is very experienced.
货,这批货明天到。,This batch of goods arrives tomorrow.
长江,长江是中国最长的河。,The Yangtze is China's longest river.
交警,交警在路口指挥交通。,The traffic police direct traffic at the intersection.
凉茶,天热的时候喝点凉茶。,Drink some herbal tea when it's hot.
几次,我去过那里好几次。,I've been there quite a few times.
北风,冬天常刮北风。,The north wind often blows in winter.
南北,这条路贯通南北。,This road runs from north to south.
及时雨,这场及时雨救了庄稼。,This timely rain saved the crops.
四叶草,她找到了一片四叶草。,She found a four-leaf clover.
折,他把纸折成小船。,He folded the paper into a small boat.
日出,我们一起看日出。,We watched the sunrise together.
脱掉,进屋请脱掉鞋子。,Please take off your shoes when entering.
西安,西安有很多历史古迹。,Xi'an has many historical sites.
购书,他喜欢在网上购书。,He likes buying books online.
酒瓶,桌上放着一个酒瓶。,There's a liquor bottle on the table.
饭卡,我忘记带饭卡了。,I forgot to bring my meal card.
马车,以前人们坐马车出行。,"In the past, people traveled by horse cart."
一个半,这个任务需要一个半小时。,This task needs one and a half hours.
一场,昨晚下了一场大雨。,There was a heavy rain last night.
一年四季,这里一年四季都很暖和。,It's warm here all year round.
