hanzi,sentence,en,th_final
路况,今天路况不太好。,Traffic conditions aren't great today.,วันนี้สภาพการจราจรไม่ค่อยดี
路段,前方路段正在施工。,The road ahead is under construction.,ช่วงถนนข้างหน้ากำลังก่อสร้างอยู่
路程,这段路程很遥远。,This journey is very long.,ระยะทางช่วงนี้ไกลมาก
路线,请选择最短路线。,Please choose the shortest route.,ช่วยเลือกเส้นทางที่สั้นที่สุดนะ
路过,我路过这里顺便看看。,I was passing by here so I stopped to take a look.,ฉันเดินผ่านมาแถวนี้เลยแวะดูหน่อย
路面,下雨后路面很滑。,The road surface is slippery after rain.,หลังฝนตกพื้นถนนลื่นมาก
跳动,他的心脏剧烈跳动。,His heart was pounding violently.,หัวใจของเขาเต้นแรงมาก
跳远,他擅长跳远项目。,He excels at the long jump event.,เขาเก่งกีฬากระโดดไกล
踊跃,大家踊跃发言。,Everyone spoke enthusiastically.,ทุกคนกระตือรือร้นออกมาพูดกัน
踏上,他终于踏上了故乡的土地。,He finally set foot on his hometown's soil.,ในที่สุดเขาก็ได้เหยียบแผ่นดินบ้านเกิด
踏实,他做事一向很踏实。,He always does things steadily and reliably.,เขาทำงานหนักแน่นน่าเชื่อถือเสมอ
蹦,孩子们高兴地蹦跳。,The children jumped happily.,เด็กๆ กระโดดโลดเต้นอย่างสนุกสนาน
蹭,猫在腿边蹭来蹭去。,The cat rubbed against his leg.,แมวถูตัวไปมาข้างขาเขา
蹲,他蹲下身系鞋带。,He crouched down to tie his shoelaces.,เขานั่งยองๆ ลงผูกเชือกรองเท้า
身份,请出示您的身份证明。,Please show your identification.,ช่วยแสดงหลักฐานยืนยันตัวตนด้วย
身子,她的身子很虚弱。,Her body is very weak.,ร่างกายของเธออ่อนแอมาก
身影,我看到了他的身影。,I saw his silhouette.,ฉันเห็นเงาร่างของเขา
身心,运动有益身心健康。,Exercise benefits both body and mind.,การออกกำลังกายดีต่อสุขภาพกายและใจ
身躯,他的身躯十分强壮。,His body is very strong.,ร่างกายของเขาแข็งแรงมาก
身高,他的身高一米八。,His height is 1.8 meters.,เขาสูงหนึ่งเมตรแปด
躲藏,小猫躲藏在沙发下面。,The kitten hid under the sofa.,ลูกแมวซ่อนตัวอยู่ใต้โซฟา
躲避,他躲避着记者的追问。,He avoided the reporter's questions.,เขาหลบเลี่ยงคำถามของนักข่าว
车厢,火车车厢里坐满了人。,The train carriage was full of people.,ตู้รถไฟเต็มไปด้วยผู้คน
车票,他去窗口买车票。,He went to the window to buy a ticket.,เขาไปซื้อตั๋วรถที่ช่องขายตั๋ว
车轮,车轮陷进了泥地里。,The wheel got stuck in the mud.,ล้อรถจมลงไปในโคลน
车辆,路上的车辆越来越多。,There are more and more vehicles on the road.,รถราบนถนนมีมากขึ้นเรื่อยๆ
车速,请注意控制车速。,Please pay attention to controlling your speed.,ช่วยควบคุมความเร็วรถด้วยนะ
车间,工人们在车间加班。,The workers are working overtime in the workshop.,คนงานทำงานล่วงเวลากันอยู่ในโรงงาน
转化,压力可以转化为动力。,Pressure can be transformed into motivation.,ความกดดันเปลี่ยนเป็นแรงผลักดันได้
转变,他的态度发生转变。,His attitude changed.,ทัศนคติของเขาเปลี่ยนไป
转向,汽车突然转向左边。,The car suddenly turned left.,รถเลี้ยวไปทางซ้ายกะทันหัน
转换,请把文件转换格式。,Please convert the file format.,ช่วยแปลงรูปแบบไฟล์ด้วย
转移,医院把病人转移到别处。,The hospital transferred the patient elsewhere.,โรงพยาบาลย้ายผู้ป่วยไปที่อื่น
转让,他把店铺转让给别人。,He transferred the shop to someone else.,เขาโอนร้านให้คนอื่น
转身,他转身离开了房间。,He turned around and left the room.,เขาหันตัวเดินออกจากห้อง
轮,今晚有一轮满月。,There's a full moon tonight.,คืนนี้มีพระจันทร์เต็มดวง
轮子,自行车的轮子坏了。,The bicycle's wheel is broken.,ล้อจักรยานเสีย
轮流,大家轮流照顾病人。,Everyone takes turns caring for the patient.,ทุกคนผลัดกันดูแลผู้ป่วย
轰动,这个消息引起了轰动。,This news caused a sensation.,ข่าวนี้สร้างความฮือฮาไปทั่ว
轻微,他受了轻微擦伤。,He suffered a minor scrape.,เขามีแผลถลอกเล็กน้อย
轻而易举,这件事对他轻而易举。,This matter is effortless for him.,เรื่องนี้ง่ายดายมากสำหรับเขา
载体,语言是文化的载体。,Language is the carrier of culture.,ภาษาเป็นสื่อกลางถ่ายทอดวัฒนธรรม
较量,两位选手正在较量。,The two contestants are competing.,นักแข่งสองคนกำลังประชันกันอยู่
输入,请输入你的密码。,Please enter your password.,ช่วยกรอกรหัสผ่านของคุณ
输送,管道负责输送石油。,The pipeline is responsible for transporting oil.,ท่อส่งทำหน้าที่ลำเลียงน้ำมัน
辛勤,农民辛勤地劳动着。,The farmers work diligently.,ชาวนาทำงานอย่างขยันขันแข็ง
辞,他决定辞去这份工作。,He decided to resign from this job.,เขาตัดสินใจลาออกจากงานนี้
辞去,他辞去了现在的工作。,He resigned from his current job.,เขาลาออกจากงานปัจจุบันแล้ว
辨别,他能辨别真假货币。,He can distinguish real from fake currency.,เขาแยกแยะเงินจริงเงินปลอมได้
辨认,我很难辨认他的字迹。,I find it hard to recognize his handwriting.,ฉันแทบจำลายมือของเขาไม่ได้
