hanzi,sentence,en,th_final
生活,我喜欢现在的生活。,I like my current life.,ฉันชอบชีวิตในตอนนี้
广告,电视上有很多广告。,There are many commercials on TV.,ในทีวีมีโฆษณาเยอะมาก
不管,不管天气怎么样，我们都要去。,"No matter what the weather is like, we'll still go.",ไม่ว่าอากาศจะเป็นยังไง เราก็จะไป
与,我与朋友一起去公园。,I went to the park together with my friend.,ฉันไปสวนสาธารณะกับเพื่อน
坚持,他每天坚持锻炼身体。,He persists in exercising every day.,เขาออกกำลังกายทุกวันไม่เคยขาด
加油站,前面有一个加油站。,There's a gas station up ahead.,ข้างหน้ามีปั๊มน้ำมัน
上下班,我每天开车上下班。,I drive to and from work every day.,ฉันขับรถไปกลับที่ทำงานทุกวัน
缺点,每个人都有缺点。,Everyone has faults.,ทุกคนก็มีข้อเสีย
桥,这座桥很长很高。,This bridge is long and tall.,สะพานนี้ทั้งยาวทั้งสูง
有趣,这本书很有趣。,This book is very interesting.,หนังสือเล่มนี้น่าสนใจมาก
推迟,会议推迟到明天了。,The meeting was postponed to tomorrow.,การประชุมเลื่อนไปเป็นพรุ่งนี้แล้ว
发展,这个城市发展很快。,This city is developing quickly.,เมืองนี้พัฒนาเร็วมาก
经验,他做菜很有经验。,He has a lot of experience cooking.,เขามีประสบการณ์ทำอาหารมาก
交流,我们经常交流学习方法。,We often exchange study methods.,เราแลกเปลี่ยนวิธีการเรียนกันบ่อยๆ
成功,他终于成功了。,He finally succeeded.,ในที่สุดเขาก็สำเร็จ
原因,请告诉我原因。,Please tell me the reason.,ช่วยบอกเหตุผลกับฉันหน่อย
尊重,我们应该尊重老师。,We should respect our teachers.,เราควรเคารพครู
幽默,他说话很幽默。,He speaks in a humorous way.,เขาพูดจามีอารมณ์ขันมาก
骄傲,妈妈为我感到骄傲。,Mom feels proud of me.,แม่รู้สึกภูมิใจในตัวฉัน
减少,工厂减少了污染。,The factory reduced pollution.,โรงงานลดมลพิษลง
改变,生活改变了很多。,Life has changed a lot.,ชีวิตเปลี่ยนไปเยอะมาก
却,他很累，却不休息。,"He's very tired, yet he won't rest.",เขาเหนื่อยมาก แต่กลับไม่ยอมพัก
表扬,老师表扬了他。,The teacher praised him.,คุณครูชมเขา
改,请改一下时间。,Please change the time.,ช่วยแก้เวลาหน่อย
陪,我陪妈妈去医院。,I accompanied my mom to the hospital.,ฉันไปเป็นเพื่อนแม่ที่โรงพยาบาล
失败,这次比赛他失败了。,He lost this competition.,การแข่งครั้งนี้เขาแพ้
往往,他往往很晚回家。,He usually comes home late.,เขามักจะกลับบ้านดึก
当,当他到家时，天黑了。,"When he got home, it was already dark.",ตอนที่เขาถึงบ้าน ฟ้าก็มืดแล้ว
批评,老师批评了他。,The teacher criticized him.,คุณครูตำหนิเขา
可是,我想去，可是没时间。,"I want to go, but I have no time.",ฉันอยากไป แต่ไม่มีเวลา
活泼,这个孩子很活泼。,This child is very lively.,เด็กคนนี้ร่าเริงมาก
浪费,不要浪费时间。,Don't waste time.,อย่าเสียเวลาเปล่า
放弃,他没有放弃希望。,He didn't give up hope.,เขาไม่ยอมล้มเลิกความหวัง
减肥,她每天运动减肥。,She exercises every day to lose weight.,เธอออกกำลังกายลดน้ำหนักทุกวัน
方法,这个方法很有用。,This method is very useful.,วิธีนี้มีประโยชน์มาก
幸福,他们一家很幸福。,Their family is very happy.,ครอบครัวของเขามีความสุขมาก
害羞,小女孩很害羞。,The little girl is very shy.,เด็กผู้หญิงคนนั้นขี้อายมาก
温度,今天的温度很高。,Today's temperature is very high.,อุณหภูมิวันนี้สูงมาก
许多,公园里有许多花。,There are many flowers in the park.,ในสวนมีดอกไม้มากมาย
平时,平时他很少运动。,He rarely exercises normally.,ปกติแล้วเขาไม่ค่อยออกกำลังกาย
马虎,做作业不能马虎。,You can't be careless doing homework.,ทำการบ้านจะสะเพร่าไม่ได้
烦恼,这件事让他很烦恼。,This matter troubles him a lot.,เรื่องนี้ทำให้เขากลุ้มใจมาก
活动,吃完饭去外面活动一下。,"After eating, go outside and move around a bit.",กินข้าวเสร็จแล้วออกไปขยับร่างกายข้างนอกหน่อย
其中,我有三本书，其中一本很好。,"I have three books, one of which is very good.",ฉันมีหนังสือสามเล่ม เล่มหนึ่งในนั้นดีมาก
好像,他好像不高兴。,He seems unhappy.,เขาดูเหมือนจะไม่มีความสุข
压力,工作压力很大。,Work pressure is very high.,ความกดดันจากงานเยอะมาก
拿到,我拿到了新护照。,I got my new passport.,ฉันได้หนังสือเดินทางเล่มใหม่มาแล้ว
满,杯子里的水满了。,The water in the cup is full.,น้ำในแก้วเต็มแล้ว
原谅,请原谅我的错误。,Please forgive my mistake.,ช่วยยกโทษให้ความผิดของฉันด้วยนะ
