hanzi,sentence,en
誉,他被誉为天才画家。,He is acclaimed as a genius painter.
诗,他写了一首诗。,He wrote a poem.
说完,他说完就走了。,He left right after finishing speaking.
跪,他跪在地上哭了。,He knelt on the ground and cried.
辐射,手机辐射对人体有害。,Mobile phone radiation is harmful to the human body.
适度,运动要适度，不要过量。,Exercise should be moderate; don't overdo it.
遗传,这种病会遗传给孩子。,This disease can be inherited by children.
鉴定,专家鉴定这幅画是真的。,Experts authenticated that this painting is genuine.
针对,这个计划针对年轻人。,This plan targets young people.
长寿,他希望长寿健康。,He hopes for longevity and health.
随,请大家随我来。,Please everyone follow me.
随即,他听完随即离开了。,He left immediately after listening.
隔,用墙把房间隔开。,Separate the room with a wall.
风险,投资总是有风险的。,Investment always carries risk.
食欲,他生病了，没有食欲。,He is sick and has no appetite.
饮酒,开车不能饮酒。,You must not drink alcohol when driving.
验,医生给他验血。,The doctor tested his blood.
高明,这个医生医术高明。,This doctor's medical skill is superb.
一棵树,院子里有一棵树。,There is a tree in the yard.
两样,他的态度突然两样了。,His attitude suddenly became different.
严谨,他做事非常严谨。,He does things very rigorously.
京城,古代京城非常繁华。,The ancient capital was very prosperous.
伤,他的手受伤了。,His hand got injured.
似的,天冷得像冬天似的。,It's cold as if it were winter.
佳,这道菜味道佳。,This dish tastes excellent.
侍卫,侍卫保护皇帝的安全。,The bodyguard protects the emperor's safety.
修身养性,他每天练习书法修身养性。,He practices calligraphy every day to cultivate body and mind.
具备,他具备当老师的条件。,He possesses the qualifications to be a teacher.
冰川,冰川正在慢慢融化。,The glacier is slowly melting.
创,他创办了一家公司。,He founded a company.
各个,各个部门都很忙。,Every department is busy.
呀,这个苹果真甜呀！,This apple is really sweet!
咬,小狗咬了我一口。,The dog bit me once.
哈欠,他打了一个哈欠。,He let out a yawn.
器官,心脏是重要的器官。,The heart is an important organ.
围坐在,一家人围坐在桌旁。,The family sat gathered around the table.
围墙,花园周围有围墙。,There is a wall around the garden.
基部,这朵花的基部很粗。,The base of this flower is thick.
境,他们已经出境了。,They have already crossed the border out of the country.
多项,他获得了多项奖励。,He received multiple awards.
大地,春天大地开始变绿。,In spring the earth begins to turn green.
大雾,今天早上有大雾。,There was thick fog this morning.
大面积,大面积的森林被烧毁。,A large area of forest was burned down.
天气预报,天气预报说明天下雨。,The weather forecast says it will rain tomorrow.
审美,她的审美很独特。,Her aesthetic taste is very unique.
寂寞,一个人在家很寂寞。,Being home alone is very lonely.
密切,两国关系密切。,Relations between the two countries are close.
小花,她是娱乐圈的小花。,She is a popular young actress in showbiz.
席地而坐,大家席地而坐聊天。,Everyone sat on the ground and chatted.
延续,这个传统延续至今。,This tradition continues to this day.
情商,他情商很高。,He has high emotional intelligence.
成员,他是团队成员之一。,He is one of the team members.
战,双方开战了。,Both sides went to war.
房,这套房很大。,This house is very big.
手脚,他手脚很麻利。,His hands and feet move nimbly.
扛,他扛着一袋米。,He is carrying a bag of rice on his shoulder.
担,他勇于担责任。,He is brave enough to take on responsibility.
拨,请拨打这个电话。,Please dial this phone number.
指令,电脑执行指令。,The computer executes the command.
推,他推开了门。,He pushed the door open.
放进,把书放进包里。,Put the book into the bag.
新能源,新能源汽车很流行。,New energy vehicles are very popular.
日光灯,教室装了日光灯。,The classroom has fluorescent lights installed.
时光,童年时光很快乐。,Childhood times were very happy.
旺,他生意很旺。,His business is thriving.
景象,眼前景象十分壮观。,The scene before us is spectacular.
朋,有朋自远方来。,A friend has come from afar.
水井,村里有一口水井。,There is a well in the village.
洞穴,山上有个洞穴。,There is a cave on the mountain.
洽谈,双方正在洽谈合作。,Both parties are discussing cooperation.
流行音乐,她喜欢流行音乐。,She likes pop music.
浓度,血液浓度很正常。,The blood concentration is normal.
海外,他常去海外旅行。,He often travels overseas.
界,他不小心越界了。,He accidentally crossed the boundary line.
登山,周末我们去登山。,We go mountain climbing on weekends.
皇上,皇上今天很高兴。,The emperor is very happy today.
皮,苹果皮很薄。,The apple peel is thin.
石碑,公园里有块石碑。,There is a stone tablet in the park.
碰,别碰这些东西。,Don't touch these things.
空白,请填写这段空白。,Please fill in this blank space.
笑容,她脸上带着笑容。,She has a smile on her face.
等候,请在门口等候。,Please wait at the entrance.
管状,这是管状结构。,This is a tube-shaped structure.
纬度,这里纬度较高。,This place has a relatively high latitude.
细,这根线很细。,This thread is very thin.
细胞分裂,细胞分裂速度很快。,Cell division happens very fast.
背,他每天背单词。,He memorizes vocabulary every day.
船上,船上有很多人。,There are many people on the boat.
花朵,花园里开满花朵。,The garden is full of blooming flowers.
茶点,客人品尝了茶点。,Guests tasted the refreshments.
葵,葵花朝着太阳生长。,Sunflowers grow towards the sun.
融入,他很快融入新环境。,He quickly integrated into the new environment.
被誉为,他被誉为音乐天才。,He is hailed as a musical genius.
记忆,我努力记忆这些单词。,I try hard to memorize these words.
谓,这就是所谓的成功。,This is what is called success.
贴,他把海报贴在墙上。,He pasted the poster on the wall.
赛,明天他们要比赛。,Tomorrow they will compete.
辟,他们开辟了新道路。,They opened up a new path.
透明度,政府提高了透明度。,The government increased transparency.
造,工人正在建造大桥。,Workers are building a bridge.
钾,香蕉含有丰富的钾。,Bananas contain abundant potassium.
隐患,电线老化是安全隐患。,Aging wires are a safety hazard.
雌,这只鸟是雌性的。,This bird is female.
风暴,一场风暴即将来临。,A storm is about to arrive.
餐具,请把餐具洗干净。,Please wash the tableware clean.
乌鸦,乌鸦站在树枝上。,The crow stood on the branch.
值夜班,他今晚要值夜班。,He has to work the night shift tonight.
冬暖夏凉,这房子冬暖夏凉。,This house is warm in winter and cool in summer.
加油机,加油机正在给飞机加油。,The fuel pump is refueling the airplane.
加盐,做菜时要适当加盐。,Add an appropriate amount of salt when cooking.
动机,他的动机令人怀疑。,His motive is suspicious.
化石,科学家发现了恐龙化石。,Scientists discovered a dinosaur fossil.
北极熊,北极熊生活在冰上。,Polar bears live on the ice.
咖啡豆,这些咖啡豆香气浓郁。,These coffee beans have a rich aroma.
哺乳动物,鲸鱼是一种哺乳动物。,Whales are a kind of mammal.
唤,妈妈唤他回家吃饭。,Mom called him home to eat.
售价,这件衣服售价很高。,This piece of clothing has a high selling price.
善待,我们应该善待动物。,We should treat animals well.
头部,他头部受了轻伤。,He suffered a minor injury to his head.
宇,宇宙非常浩瀚神秘。,The universe is vast and mysterious.
定价,公司重新给商品定价。,The company re-priced its products.
寺,山上有一座古寺。,There is an ancient temple on the mountain.
层面,这个问题涉及多个层面。,This issue involves multiple aspects.
床垫,这张床垫很舒服。,This mattress is very comfortable.
废弃,工厂废弃了旧设备。,The factory discarded the old equipment.
御,军队奋力抵御敌人。,The army fought hard to resist the enemy.
微型,他买了一台微型相机。,He bought a miniature camera.
心理压力,考试带来很大心理压力。,Exams bring a lot of psychological stress.
悬崖,他站在悬崖边上。,He stood at the edge of the cliff.
报酬,这份工作报酬很高。,This job pays a high reward.
旱季,旱季这里很少下雨。,During the dry season it rarely rains here.
木质,这张桌子是木质的。,This table is made of wood.
树枝,小鸟站在树枝上。,The bird stands on the branch.
梨,妈妈买了两个梨。,Mom bought two pears.
油纸伞,她撑着一把油纸伞。,She held an oil-paper umbrella.
泪水,她的泪水流了下来。,Her tears flowed down.
渔民,渔民每天出海打鱼。,Fishermen go out to sea to fish every day.
火山,这座火山突然喷发了。,This volcano suddenly erupted.
焦虑症,他患有严重的焦虑症。,He suffers from severe anxiety disorder.
白细胞,白细胞可以对抗感染。,White blood cells can fight infection.
神秘感,这个故事充满神秘感。,This story is full of a sense of mystery.
福字,门上贴着一个福字。,A 'fu' character is pasted on the door.
笔,他用笔写字。,He writes with a pen.
精英,他是公司的精英员工。,He is an elite employee of the company.
细菌,洗手可以去除细菌。,Washing hands can remove bacteria.
绩效,公司重视员工绩效。,The company values employees' performance.
缆车,我们坐缆车上山。,We took the cable car up the mountain.
翅膀,小鸟张开翅膀飞走了。,The bird spread its wings and flew away.
老字号,这是一家老字号饭店。,This is a time-honored restaurant.
肺泡,肺泡负责气体交换。,Alveoli are responsible for gas exchange.
航天,中国航天技术发展很快。,China's space flight technology is developing fast.
花岗石,这座桥用花岗石建造。,This bridge is built with granite.
药铺,他去药铺买药。,He went to the pharmacy to buy medicine.
葡萄园,他家有一片葡萄园。,His family has a vineyard.
行星,地球是一颗行星。,Earth is a planet.
豆汁,北京人爱喝豆汁。,Beijingers love drinking douzhi (fermented mung bean drink).
贺卡,我给她寄了一张贺卡。,I sent her a greeting card.
造纸术,造纸术是中国古代发明。,Papermaking is an ancient Chinese invention.
钓鱼,周末他喜欢去钓鱼。,On weekends he likes to go fishing.
铁丝,他用铁丝绑住栅栏。,He tied the fence with iron wire.
食疗,中医提倡食疗养生。,Traditional Chinese medicine advocates food therapy for health.
鸽子,广场上有很多鸽子。,There are many pigeons in the square.
黑土,东北有肥沃的黑土。,Northeast China has fertile black soil.
黑暗,房间里一片黑暗。,The room was in complete darkness.
一一,老师把问题一一解答了。,The teacher answered the questions one by one.
一下子,他一下子就明白了。,He understood it all at once.
一不小心,他一不小心摔倒了。,He fell down out of carelessness.
一个劲儿,他一个劲儿地往前跑。,He kept running forward without stopping.
一举,他们一举拿下了冠军。,They won the championship in one fell swoop.
一代,他是这个家族的新一代领导人。,He is the new-generation leader of this family.
一动不动,猫一动不动地盯着窗外。,The cat stared out the window without moving at all.
一半,蛋糕已经被吃掉了一半。,Half of the cake has already been eaten.
一同,同学们一同去公园野餐。,The classmates went to the park together for a picnic.
一向,他做事一向很认真。,He has always been very serious about his work.
一味,他一味地拒绝道歉。,He stubbornly refused to apologize.
一大早,她一大早就出门了。,She left home early in the morning.
一天到晚,他一天到晚都在忙工作。,He is busy with work all day long.
一头,他买了一头牛。,He bought a cow.
一如既往,她对朋友一如既往地热情。,She is as warm to her friends as ever.
一家人,过年时一家人团聚在一起。,During the New Year the family gathers together.
一帆风顺,祝你工作一帆风顺。,Wishing you smooth sailing in your work.
一带,这一带风景很美。,The scenery in this area is beautiful.
一律,门票一律十元。,Tickets are uniformly ten yuan.
一心,他一心想着学好汉语。,He is wholeheartedly focused on learning Chinese well.
一手,他练就了一手好厨艺。,He has honed excellent culinary skills.
一技之长,每个人都应该拥有一技之长。,Everyone should have a particular skill of their own.
一旁,他站在一旁等待。,He stood aside waiting.
一无所有,创业失败后他几乎一无所有。,After his business failed
一早,他一早就出门锻炼了。,He went out to exercise early in the morning.
一晃,十年时间一晃就过去了。,Ten years passed in a flash.
一次性,这是一款一次性使用的餐具。,This is a set of disposable tableware.
一番,他认真思考了一番。,He thought about it carefully for a while.
一目了然,图表让数据变得一目了然。,The chart makes the data clear at a glance.
一瞬间,一瞬间他就消失了。,"In a split second, he disappeared."
一系列,公司推出了一系列新产品。,The company launched a series of new products.
一贯,他做事一贯认真。,He has always been serious about his work.
一路,祝你们一路平安。,Wish you all a safe journey.
一身,他淋了一身雨水。,He got soaked head to toe in rain.
一辈子,她一辈子都在教书。,She has taught for her whole life.
一连,他一连打了三个电话。,He made three phone calls in a row.
