hanzi,sentence,en
渔夫,渔夫每天出海打鱼。,The fisherman goes out to sea to fish every day.
利用,我们要好好利用时间。,We should make good use of time.
思考,请你好好思考一下。,Please think it over carefully.
不断,他不断努力学习。,He keeps working hard at his studies.
行为,他的行为很奇怪。,His behavior is very strange.
伤害,吸烟会伤害身体。,Smoking harms the body.
意义,这份工作很有意义。,This job is very meaningful.
智慧,他的话充满智慧。,His words are full of wisdom.
主任,他是公司的主任。,He is the director of the company.
画家,她是一位有名的画家。,She is a famous painter.
富翁,他是这个城市的富翁。,He is a rich man in this city.
重量,这箱子的重量是十公斤。,This box weighs ten kilograms.
玩耍,孩子们在公园玩耍。,The children are playing in the park.
甲骨文,甲骨文是最早的汉字。,Oracle bone script is the earliest Chinese writing.
大雁,天上飞着一群大雁。,A flock of wild geese is flying in the sky.
汽水,他喜欢喝冰汽水。,He likes to drink cold soda.
蛇,花园里有一条蛇。,There is a snake in the garden.
养,她在家养了三只猫。,She raises three cats at home.
同时,我们同时到达了机场。,We arrived at the airport at the same time.
处理,他很会处理问题。,He is very good at handling problems.
乐观,她对未来很乐观。,She is optimistic about the future.
价值,这幅画很有价值。,This painting is very valuable.
位置,请坐在你的位置上。,Please sit in your seat.
地区,这个地区很少下雨。,It rarely rains in this region.
形状,这块石头的形状很奇怪。,The shape of this stone is very strange.
心理,她学的是心理专业。,She majors in psychology.
士兵,士兵们在训练。,The soldiers are training.
拍,他拍了拍我的肩膀。,He patted me on the shoulder.
理论,这只是一个理论。,This is only a theory.
稳定,他的工作很稳定。,His job is very stable.
装,你不用再装了。,You don't need to pretend anymore.
实验,老师做了一个实验。,The teacher did an experiment.
删除,我删除了这张照片。,I deleted this photo.
柴,爷爷去山上砍柴。,Grandpa went up the mountain to chop firewood.
碎片,地上有玻璃碎片。,There are glass fragments on the ground.
标题,这篇文章的标题很有趣。,The title of this article is very interesting.
保持,请保持安静。,Please keep quiet.
受伤,他在比赛中受伤了。,He got injured during the competition.
欣赏,我很欣赏他的才华。,I really admire his talent.
享受,他很享受这段时间。,He really enjoys this time.
失去,他失去了信心。,He lost his confidence.
对方,你要理解对方的想法。,You need to understand the other person's thoughts.
曾,他曾去过北京。,He has been to Beijing before.
形成,习惯是慢慢形成的。,Habits are formed gradually.
控制,他很难控制自己的情绪。,He finds it hard to control his emotions.
企业,这是一家大企业。,This is a large company.
充满,他心里充满了希望。,His heart is full of hope.
显示,屏幕上显示了时间。,The screen shows the time.
文字,他喜欢研究古代文字。,He likes to study ancient scripts.
能源,太阳能是重要的能源。,Solar power is an important energy source.
蔬菜,我每天都吃新鲜蔬菜。,I eat fresh vegetables every day.
盒饭,中午他买了一份盒饭。,At noon he bought a boxed meal.
地主,那个地主拥有很多土地。,That landlord owns a lot of land.
弓,他用弓射中了目标。,He shot the target with a bow.
