hanzi,sentence,en
估计,我估计他明天会来。,I estimate he'll come tomorrow.
保证,我保证按时完成作业。,I guarantee I'll finish the homework on time.
写日记,她每天晚上写日记。,She writes in her diary every evening.
咳嗽,他感冒了，一直咳嗽。,He has a cold and keeps coughing.
商量,我们商量一下这件事。,Let's discuss this matter.
垃圾,请把垃圾放进桶里。,Please put the trash in the bin.
基础,打好基础很重要。,Building a good foundation is important.
大概,他大概八点会到。,He'll probably arrive around eight.
尽管,尽管下雨，他还是来了。,"Although it rained, he still came."
放暑假,学校下周放暑假了。,School goes on summer vacation next week.
汤,妈妈做了一碗汤。,Mom made a bowl of soup.
然而,他很努力，然而没考好。,"He worked hard, however he didn't do well on the exam."
特点,这个城市有很多特点。,This city has many characteristics.
睡醒,他早上七点睡醒了。,He woke up at seven in the morning.
研究生,我姐姐是研究生。,My sister is a graduate student.
究竟,你究竟想说什么？,What exactly do you want to say?
符合,这个答案符合要求。,This answer meets the requirements.
请客,今天我请客，你随便点。,"I'm treating today, order whatever you like."
负责,这件事由他负责。,He is responsible for this matter.
难受,他肚子疼，很难受。,"His stomach hurts, he feels very unwell."
饺子,过年时我们吃饺子。,We eat dumplings during New Year.
他人,请不要打扰他人。,Please don't disturb others.
制造,这家工厂制造汽车。,This factory manufactures cars.
挺,这部电影挺有意思。,This movie is quite interesting.
春节,春节的时候很热闹。,Spring Festival is very lively.
申请,他正在申请这所大学。,He is applying to this university.
确实,这道题确实很难。,This question is indeed very difficult.
竟然,他竟然忘了我的名字。,He unexpectedly forgot my name.
进行,会议正在进行中。,The meeting is currently underway.
千万,这个城市有千万人口。,This city has a population of ten million.
少数民族,中国有很多少数民族。,China has many ethnic minorities.
电话号码,请告诉我电话号码。,Please tell me your phone number.
离不开,生活离不开水和空气。,Life cannot do without water and air.
连,连小孩都懂这个道理。,Even children understand this principle.
发脾气,他生气地发脾气了。,He got angry and lost his temper.
可惜,可惜他没能来参加。,It's a pity he couldn't come to participate.
心,她的心跳得很快。,Her heart is beating fast.
握手,他们见面就握手。,They shook hands when they met.
猜,你猜他今年多大？,Guess how old he is this year?
生,他生在一个普通家庭。,He was born into an ordinary family.
能够,他能够解决问题。,He is capable of solving problems.
做梦,我昨晚做梦了。,I dreamed last night.
一名,他是一名医生。,He is a doctor.
不得不,他不得不接受结果。,He had no choice but to accept the result.
主意,这是个好主意。,This is a good idea.
偶尔,我偶尔会去游泳。,I occasionally go swimming.
到底,你到底想去哪里？,Where exactly do you want to go?
加,三加五等于八。,Three plus five equals eight.
印象,他给我留下好印象。,He left me with a good impression.
号码,请写下你的号码。,Please write down your number.
吵,他们俩又吵起来了。,The two of them started quarreling again.
孙子,爷爷很爱他的孙子。,Grandpa loves his grandson very much.
对面,他坐在我的对面。,He sits across from me.
干燥,这里的天气很干燥。,The weather here is very dry.
性别,表格上要填性别。,You need to fill in gender on the form.
恐怕,恐怕明天会下雨。,I'm afraid it will rain tomorrow.
打网球,我们周末一起打网球。,We play tennis together on weekends.
扩大,公司决定扩大规模。,The company decided to expand its scale.
母亲,我的母亲是老师。,My mother is a teacher.
毛巾,请把毛巾递给我。,Please hand me the towel.
羽毛球,他每天打羽毛球。,He plays badminton every day.
责任心,她工作很有责任心。,She has a strong sense of responsibility at work.
从来,这里从来都很安静。,It has always been very quiet here.
内,三天内完成。,Finish within three days.
实际上,实际上这个问题不难。,"In fact, this problem isn't difficult."
干,你在干什么？,What are you doing?
当时,当时我还是学生。,At that time I was still a student.
收到,我收到了你的信。,I received your letter.
旅行,我们打算去旅行。,We plan to go traveling.
科学,他对科学很感兴趣。,He is very interested in science.
这份,这份工作很不错。,This job is quite good.
互相,我们应该互相帮助。,We should help each other.
冬季,冬季天气很冷。,The weather is very cold in winter.
各,各位请安静。,Everyone please be quiet.
海洋馆,周末我们去海洋馆。,We're going to the aquarium this weekend.
喜爱,大家都喜爱这首歌。,Everyone loves this song.
金钱,金钱不能买到幸福。,Money can't buy happiness.
高速公路,我们开车走高速公路。,We drove on the expressway.
一切,一切都会好起来的。,Everything will turn out fine.
不停,他不停地说话。,He talks incessantly.
专门,这是专门为孩子设计的。,This is specially designed for children.
世纪,这是二十一世纪。,This is the twenty-first century.
严格,老师对我们很严格。,The teacher is very strict with us.
判断,你要自己判断对错。,You need to judge right from wrong yourself.
判断力,他的判断力很强。,His judgment is very strong.
到处,到处都是人。,There are people everywhere.
可,我很累，可我还要工作。,"I'm tired, but I still have to work."
可怜,这只小猫很可怜。,This kitten is very pitiful.
同情心,她很有同情心。,She has a lot of compassion.
填表格,请先填表格。,Please fill in the form first.
成,这件事一定能成。,This matter will definitely work out.
房租,这个月房租涨了。,The rent went up this month.
招聘,公司正在招聘新员工。,The company is recruiting new employees.
掉,钱包掉在地上了。,The wallet fell on the ground.
无论,无论多忙，他都会锻炼。,"No matter how busy he is, he still exercises."
极其,这道题极其简单。,This problem is extremely simple.
洗衣机,洗衣机坏了。,The washing machine is broken.
流利,她说汉语很流利。,She speaks Chinese fluently.
稍微,请稍微等一下。,Please wait just a little bit.
篇,我写了一篇文章。,I wrote an article.
自然,我们要保护自然。,We must protect nature.
获得成功,他终于获得成功。,He finally achieved success.
购买,顾客可以在网上购买。,Customers can purchase online.
赚钱,他努力工作赚钱。,He works hard to earn money.
躺,他躺在床上休息。,He lay on the bed to rest.
部分,这只是一部分。,This is only a part.
随便,你随便坐就行。,Just sit wherever you like.
预习,我每天预习课文。,I preview the lesson text every day.
饼干,孩子喜欢吃饼干。,Children like to eat biscuits.
高级,这是一家高级饭店。,This is a high-end restaurant.
举办,学校举办了运动会。,The school held a sports meet.
之前,下班之前给我打电话。,Call me before you get off work.
出汗,跑步后他出汗了。,He sweated after running.
反映,这份报告反映了问题。,This report reflects the problem.
大部分,大部分学生都喜欢这门课。,Most students like this course.
市场,妈妈去市场买菜。,Mom went to the market to buy vegetables.
服务,这家饭店服务很好。,This restaurant's service is very good.
本来,我本来打算去旅行。,I originally planned to go traveling.
正好,这件衣服大小正好。,This piece of clothing fits just right.
浪费时间,别浪费时间了。,Stop wasting time.
留,他留下一封信。,He left behind a letter.
盐,汤里放点盐。,Put some salt in the soup.
科学技术,科学技术发展很快。,Science and technology develop quickly.
笨,我不笨，只是粗心。,"I'm not stupid, just careless."
美好,祝你有美好的一天。,Wish you a wonderful day.
至少,你至少要休息一下。,You should rest for at least a bit.
苦,这个药很苦。,This medicine is very bitter.
邀请信,我收到了一封邀请信。,I received an invitation letter.
之后,下课之后我们去吃饭。,After class we'll go eat.
其,每个人都有其优点。,Everyone has their own strengths.
寒假,寒假我要去旅行。,During winter vacation I want to travel.
梦,我做了一个奇怪的梦。,I had a strange dream.
狮子,狮子是森林之王。,The lion is the king of the forest.
错误,这个答案是错误的。,This answer is wrong.
弃,请不要弃我而去。,Please don't abandon me and leave.
车族,越来越多的人加入车族。,More and more people are joining the car-owning group.
严格要求,老师严格要求我们按时完成作业。,The teacher strictly requires us to finish homework on time.
于,他生于北京。,He was born in Beijing.
于是,他很累，于是就睡了。,"He was tired, so he went to sleep."
五份,请复印五份。,Please make five copies.
交朋友,我喜欢交朋友。,I like making friends.
传真机,办公室有一台传真机。,There's a fax machine in the office.
保护环境,我们应该保护环境。,We should protect the environment.
修,他在修自行车。,He is fixing the bicycle.
停,车突然停了。,The car suddenly stopped.
入口,入口在这边。,The entrance is over here.
农村,我爷爷住在农村。,My grandfather lives in the countryside.
减轻,多休息能减轻疲劳。,Getting more rest can ease fatigue.
别着急,遇到问题别着急。,Don't worry when you run into a problem.
吃水果,多吃水果对身体好。,Eating more fruit is good for your health.
咱们,咱们一起去公园吧。,Let's go to the park together.
回到,他终于回到家了。,He finally returned home.
地点,请告诉我聚会地点。,Please tell me the location of the party.
寄信,我去邮局寄信。,I'm going to the post office to mail a letter.
