hanzi,sentence,en,th_final
面条,我喜欢吃面条。,I like eating noodles.,ฉันชอบกินบะหมี่
页,请翻到第十页。,Please turn to page ten.,เปิดไปหน้าสิบหน่อย
餐厅,我们在餐厅吃饭。,We are eating in the dining hall.,เรากินข้าวกันในร้านอาหาร
首都机场,飞机降落在首都机场。,The plane landed at the Capital Airport.,เครื่องบินลงจอดที่สนามบินเมืองหลวง
鲜,这些水果很鲜。,These fruits are very fresh.,ผลไม้พวกนี้สดมาก
一时,他一时想不起来。,He couldn't remember it for a moment.,เขานึกไม่ออกอยู่แวบหนึ่ง
一趟,我去了一趟超市。,I made a trip to the supermarket.,ฉันไปซูเปอร์มาร์เก็ตมารอบหนึ่ง
不好意思,迟到了，真不好意思。,"I'm late, I'm so embarrassed.",มาสายจริงๆ ขอโทษนะ
不满,他对结果很不满。,He is very dissatisfied with the result.,เขาไม่พอใจกับผลลัพธ์มาก
也好,你不去也好。,It's fine if you don't go.,เธอไม่ไปก็ดีเหมือนกัน
交,请把作业交给我。,Please hand your homework to me.,ส่งการบ้านให้ฉันหน่อย
从来没,我从来没去过。,I have never been there.,ฉันไม่เคยไปที่นั่นเลย
以,他以微笑面对困难。,He faces difficulties with a smile.,เขาเผชิญความยากลำบากด้วยรอยยิ้ม
低头,他低头看着手机。,"He bowed his head, looking at his phone.",เขาก้มหน้าดูมือถือ
各不相同,每个人的想法各不相同。,Everyone's ideas are different.,ความคิดของแต่ละคนไม่เหมือนกันเลย
好消息,我有一个好消息告诉你。,I have good news to tell you.,ฉันมีข่าวดีจะบอกเธอ
手里,钱在他手里。,The money is in his hands.,เงินอยู่ในมือเขา
新鲜感,这个城市给我新鲜感。,This city gives me a sense of freshness.,เมืองนี้ให้ความรู้สึกแปลกใหม่กับฉัน
无价,友谊是无价的财富。,Friendship is a priceless treasure.,มิตรภาพเป็นสมบัติที่ประเมินค่าไม่ได้
有用,这本书对我很有用。,This book is very useful to me.,หนังสือเล่มนี้มีประโยชน์กับฉันมาก
每人,每人发一本书。,Everyone is given a book.,แจกหนังสือคนละเล่ม
汉族,他是汉族人。,He is Han Chinese.,เขาเป็นชาวฮั่น
热量,这种食物热量很高。,This food is high in calories.,อาหารแบบนี้แคลอรีสูงมาก
王师傅,王师傅正在修车。,Master Wang is repairing a car.,ช่างหวังกำลังซ่อมรถอยู่
电子信箱,请发到我的电子信箱。,Please send it to my email inbox.,ส่งมาที่กล่องอีเมลของฉันหน่อย
真心,我真心希望你快乐。,I sincerely hope you're happy.,ฉันหวังจากใจจริงว่าเธอจะมีความสุข
眼前,眼前的困难会过去的。,The difficulties in front of you will pass.,ความยากลำบากตรงหน้าจะผ่านไป
离家,他离家已经三年了。,He has been away from home for three years.,เขาจากบ้านมาสามปีแล้ว
科技,科技让生活更方便。,Technology makes life more convenient.,เทคโนโลยีทำให้ชีวิตสะดวกขึ้น
经验丰富,这位医生经验丰富。,This doctor is very experienced.,หมอคนนี้มีประสบการณ์มาก
货,这批货明天到。,This batch of goods arrives tomorrow.,สินค้าล็อตนี้จะมาถึงพรุ่งนี้
长江,长江是中国最长的河。,The Yangtze is China's longest river.,แม่น้ำแยงซีเกียงเป็นแม่น้ำที่ยาวที่สุดของจีน
交警,交警在路口指挥交通。,The traffic police direct traffic at the intersection.,ตำรวจจราจรกำลังโบกรถอยู่ที่สี่แยก
凉茶,天热的时候喝点凉茶。,Drink some herbal tea when it's hot.,เวลาอากาศร้อนก็ดื่มชาสมุนไพรสักหน่อย
几次,我去过那里好几次。,I've been there quite a few times.,ฉันไปที่นั่นมาหลายครั้งแล้ว
北风,冬天常刮北风。,The north wind often blows in winter.,หน้าหนาวมักมีลมเหนือพัด
南北,这条路贯通南北。,This road runs from north to south.,ถนนเส้นนี้เชื่อมเหนือจรดใต้
及时雨,这场及时雨救了庄稼。,This timely rain saved the crops.,ฝนที่ตกมาถูกเวลานี้ช่วยพืชผลไว้ได้
四叶草,她找到了一片四叶草。,She found a four-leaf clover.,เธอเจอใบโคลเวอร์สี่แฉก
折,他把纸折成小船。,He folded the paper into a small boat.,เขาพับกระดาษเป็นเรือลำเล็ก
日出,我们一起看日出。,We watched the sunrise together.,เราดูพระอาทิตย์ขึ้นด้วยกัน
脱掉,进屋请脱掉鞋子。,Please take off your shoes when entering.,เข้าบ้านช่วยถอดรองเท้าด้วยนะ
西安,西安有很多历史古迹。,Xi'an has many historical sites.,ซีอานมีโบราณสถานทางประวัติศาสตร์มากมาย
购书,他喜欢在网上购书。,He likes buying books online.,เขาชอบซื้อหนังสือออนไลน์
酒瓶,桌上放着一个酒瓶。,There's a liquor bottle on the table.,บนโต๊ะมีขวดเหล้าวางอยู่
饭卡,我忘记带饭卡了。,I forgot to bring my meal card.,ฉันลืมเอาบัตรอาหารมา
马车,以前人们坐马车出行。,"In the past, people traveled by horse cart.",เมื่อก่อนผู้คนเดินทางด้วยรถม้า
一个半,这个任务需要一个半小时。,This task needs one and a half hours.,งานนี้ต้องใช้เวลาหนึ่งชั่วโมงครึ่ง
一场,昨晚下了一场大雨。,There was a heavy rain last night.,เมื่อคืนมีฝนตกหนักครั้งหนึ่ง
一年四季,这里一年四季都很暖和。,It's warm here all year round.,ที่นี่อบอุ่นตลอดทั้งปี
一方面,"一方面他想学习,一方面他想玩。","On one hand he wants to study, on the other he wants to play.",ด้านหนึ่งเขาอยากเรียน อีกด้านหนึ่งเขาก็อยากเล่น
一步步,他一步步走向成功。,He walked step by step toward success.,เขาก้าวไปสู่ความสำเร็จทีละก้าว
一段,我们认识一段时间了。,We've known each other for a period of time.,เรารู้จักกันมาระยะหนึ่งแล้ว
一群,公园里有一群孩子。,There's a group of children in the park.,ในสวนมีเด็กอยู่กลุ่มหนึ่ง
三分之一,他吃了蛋糕的三分之一。,He ate one third of the cake.,เขากินเค้กไปหนึ่งในสาม
