hanzi,sentence,en
节,春节是重要节日。,Spring Festival is an important holiday.
蝴蝶,蝴蝶在花园飞舞。,The butterfly flutters in the garden.
诊断,医生诊断他得了感冒。,The doctor diagnosed him with a cold.
井水,村民喝井水长大。,The villagers grew up drinking well water.
助,朋友帮助我搬家。,My friend helped me move house.
向阳,这间房子向阳。,This room faces the sun.
民间,这是民间流传的故事。,This is a story circulated among the people.
等待,他在车站等待朋友。,He is waiting for his friend at the station.
精致,这个盒子非常精致。,This box is very delicate.
充足,睡眠充足对身体好。,Sufficient sleep is good for your body.
在于,成功在于坚持不懈。,Success lies in persistence.
均匀,他把颜色涂得均匀。,He spread the color evenly.
技巧,她游泳技巧很好。,Her swimming technique is very good.
气质,她气质非常优雅。,She has a very elegant air about her.
起到,运动起到锻炼作用。,Exercise has a training effect.
降,气温明天下降。,The temperature will drop tomorrow.
习俗,这是当地习俗。,This is a local custom.
传播,新闻迅速传播开来。,The news spread quickly.
供应,工厂供应新鲜蔬菜。,The factory supplies fresh vegetables.
加快,他加快了脚步。,He quickened his pace.
原料,这是做面包的原料。,This is the raw material for making bread.
对象,他是我的研究对象。,He is my subject of research.
形,月亮渐渐变成圆形。,The moon gradually became round in shape.
视觉,这幅画视觉效果好。,This painting has a good visual effect.
饮食,健康饮食很重要。,A healthy diet is very important.
作,他作了详细计划。,He made a detailed plan.
培训,公司提供员工培训。,The company provides staff training.
提出,他提出一个建议。,He raised a suggestion.
精确,这个数据非常精确。,This piece of data is very precise.
维生素,水果含有丰富维生素。,Fruits contain abundant vitamins.
列,士兵们列队前进。,The soldiers lined up and marched forward.
地下,老鼠住在地下。,Mice live underground.
氧,植物释放氧气。,Plants release oxygen.
高度,飞机保持一定高度。,The plane maintains a certain altitude.
煮,妈妈正在煮面条。,Mom is cooking noodles.
祝,祝你生日快乐。,I wish you a happy birthday.
伤痕,他手臂上有伤痕。,He has a scar on his arm.
体检,他明天要体检。,He is having a physical checkup tomorrow.
树苗,工人种下树苗。,Workers planted saplings.
老太太,老太太在公园散步。,The elderly lady is walking in the park.
芳香油,这瓶芳香油很香。,This bottle of fragrant oil smells great.
驴,驴在田里干活。,The donkey is working in the field.
以来,长期以来他很努力。,For a long time now he has worked hard.
意志,他意志非常坚强。,His willpower is very strong.
一部,这是一部好电影。,This is a good movie.
均,学生们成绩均优秀。,The students' grades are all excellent.
座,那座桥很高。,That bridge is very tall.
心中,妈妈永远在我心中。,Mom will always be in my heart.
接近,火车接近北京了。,The train is approaching Beijing.
注重,老师很注重细节。,The teacher pays great attention to detail.
消除,运动可以消除压力。,Exercise can eliminate stress.
诞生,一个新想法诞生了。,A new idea was born.
通,这条路通北京。,This road leads to Beijing.
图,这张图很清楚。,This picture is very clear.
天生,她天生很聪明。,She is naturally very smart.
工程,这是一个大工程。,This is a big engineering project.
愈,他的伤愈了。,His wound has healed.
眼,他的眼很大。,His eyes are big.
诗歌,这首诗歌很美。,This poem is very beautiful.
人际关系,他的人际关系很好。,His interpersonal relationships are very good.
关爱,老师很关爱学生。,The teacher cares a lot about the students.
农夫,农夫在种地。,The farmer is farming.
分泌,汗腺会分泌汗液。,Sweat glands secrete sweat.
缺,这里缺一个人。,One person is missing here.
下车,请在这里下车。,Please get off here.
描绘,他描绘了未来。,He depicted the future.
文物,博物馆里有文物。,There are cultural relics in the museum.
本质,这是问题的本质。,This is the essence of the problem.
礼仪,我们要注意礼仪。,We should pay attention to etiquette.
缺陷,这个产品有缺陷。,This product has a defect.
弹性,这种材料很有弹性。,This material is very elastic.
效,这个方法很有效。,This method is very effective.
营销,公司重视营销策略。,The company values its marketing strategy.
南极,南极非常寒冷。,The South Pole is extremely cold.
幼,这个孩子还很年幼。,This child is still very young.
洋,太平洋很大。,The Pacific Ocean is very big.
猴,猴子很聪明。,Monkeys are very smart.
累积,经验需要累积。,Experience needs to be accumulated.
老狐狸,他是个老狐狸。,He is a sly old fox.
金星,金星是颗行星。,Venus is a planet.
众所周知,众所周知，地球是圆的。,"As everyone knows, the earth is round."
演变,语言在不断演变。,Language is constantly evolving.
象,大象的鼻子很长。,An elephant's trunk is very long.
事件,这是一起重大事件。,This is a major incident.
体现,这体现了他的努力。,This reflects his effort.
倾听,他认真倾听意见。,He listened attentively to opinions.
土壤,这里的土壤很肥沃。,The soil here is very fertile.
惊讶,他感到非常惊讶。,He felt very astonished.
未,他还未回家。,He still hasn't returned home.
类似,这两个情况类似。,These two situations are similar.
修建,政府修建了大桥。,The government built a bridge.
家喻户晓,这个演员家喻户晓。,This actor is well known to everyone.
建立,他们建立了公司。,They established a company.
手法,这种手法很巧妙。,This technique is very clever.
挫折,他遇到挫折从不放弃。,He never gives up when he encounters setbacks.
据,据报道，明天会下雨。,"According to reports, it will rain tomorrow."
表情,她的表情看起来很难过。,Her facial expression looks very sad.
记忆力,老年人的记忆力会下降。,Elderly people's memory ability declines.
一棵,院子里有一棵大树。,There is a big tree in the yard.
名称,这个产品的名称很奇怪。,This product's name is quite strange.
奔跑,孩子们在草地上奔跑。,The children are running on the grass.
学者,这位学者研究历史多年。,This scholar has studied history for many years.
实际,这个计划不太实际。,This plan is not very realistic.
收缩,遇冷金属会收缩。,Metal shrinks when it gets cold.
某种,他好像有某种烦恼。,He seems to have some kind of worry.
片,桌上放着一片面包。,There is a slice of bread on the table.
病情,医生正在了解病情。,The doctor is finding out about the patient's condition.
程度,他的中文达到了高级程度。,His Chinese has reached an advanced level.
经济学家,这位经济学家的分析很准确。,This economist's analysis is very accurate.
舞蹈,她从小学习舞蹈。,She has studied dance since childhood.
认知,这本书讲儿童认知发展。,This book discusses children's cognitive development.
预防,戴口罩可以预防感冒。,Wearing a mask can prevent colds.
创业,他毕业后选择创业。,After graduating he chose to start a business.
原理,这是物理学的基本原理。,This is a basic principle of physics.
含量,这种水果糖分含量很高。,This fruit has a high sugar content.
未知,宇宙中还有很多未知领域。,There are many unknown areas in the universe.
来源,这些资金的来源不明。,The source of this money is unclear.
水分,这种水果水分很多。,This fruit has a lot of moisture.
系统,这个系统运行很稳定。,This system runs very stably.
网络文学,他喜欢看网络文学作品。,He likes reading online literature works.
考察,专家去农村考察情况。,Experts went to the countryside to investigate the situation.
聚,我们周末聚在一起。,We get together on weekends.
饮茶,周末他们一起去饮茶。,On the weekend they go to drink tea together.
香气,花园里飘着阵阵香气。,Fragrance wafts through the garden.
低于,今天气温低于零度。,Today's temperature is below zero.
作物,农民种植各种作物。,Farmers grow all kinds of crops.
开放,春天花朵开始开放。,In spring flowers begin to bloom.
形似,这两座山形似骆驼。,These two mountains resemble camels in shape.
影像,医生查看肺部影像。,The doctor examines the lung images.
折扣,这件衣服有折扣。,This piece of clothing has a discount.
施,他向灾民施以援助。,He gave aid to the disaster victims.
第二个,我是第二个到的。,I was the second one to arrive.
缸,院子里有一口水缸。,There is a water vat in the yard.
航空公司,这家航空公司很有名。,This airline is very famous.
误区,很多人对减肥有误区。,Many people have misconceptions about losing weight.
造纸,古人发明了造纸术。,The ancients invented papermaking.
重力,地球有很强的重力。,The earth has strong gravity.
锅,妈妈用锅炒菜。,Mom stir-fries vegetables using a pot.
音,老师纠正我的发音。,The teacher corrects my pronunciation.
餐,他们在餐厅吃早餐。,They eat breakfast at the restaurant.
东道主,这次比赛的东道主很热情。,The host of this competition is very hospitable.
全价,他买的是全价机票。,He bought a full-price plane ticket.
卫星,卫星绕地球飞行。,The satellite orbits the earth.
可燃物,仓库里堆满可燃物。,The warehouse is full of flammable materials.
听众,听众认真听广播。,The listeners attentively listen to the radio broadcast.
啄木鸟,啄木鸟在树上啄虫。,The woodpecker pecks bugs on the tree.
套餐,我点了一份套餐。,I ordered a set meal.
木盆,她用木盆洗衣服。,She washes clothes in a wooden basin.
橡皮,他用橡皮擦掉字。,He erased the words with an eraser.
画虎,他正在纸上画虎。,He is drawing a tiger on paper.
着火点,汽油的着火点很低。,Gasoline has a low ignition point.
绒毛,小鸭子身上有绒毛。,The little duckling has down on its body.
联名卡,我办了一张联名卡。,I got a co-branded card.
胡萝卜,妈妈买了很多胡萝卜。,Mom bought a lot of carrots.
为主,这道菜以蔬菜为主。,This dish is mainly made of vegetables.
且,这个方法简单且有效。,This method is simple and effective.
灵敏,这个机器人反应灵敏。,"This robot has quick, sharp reactions."
体力,长跑需要很好的体力。,Long-distance running requires great physical strength.
何,他为何不来开会？,Why didn't he come to the meeting?
内涵,这首诗内涵丰富。,This poem is rich in meaning.
农历,春节是农历新年。,Spring Festival is the lunar new year.
分析,老师帮我们分析问题。,The teacher helps us analyze the problem.
单一,他的收入来源单一。,His income comes from a single source.
品,这家店专卖精品服装。,This store specializes in selling high-quality clothing.
增强,运动能增强体质。,Exercise can strengthen physical fitness.
居然,他居然忘记我的名字。,He unexpectedly forgot my name.
开阔,这里视野非常开阔。,The view here is very open and wide.
推出,公司推出新产品。,The company launched a new product.
故乡,他很想念故乡。,He misses his hometown very much.
治疗,医生正在治疗病人。,The doctor is treating the patient.
热爱,他热爱自己的工作。,He loves his job passionately.
精美,这个礼盒非常精美。,This gift box is exquisite.
素,她今天穿了一身素色的裙子。,Today she is wearing a plain-colored dress.
象征,白鸽象征和平。,The white dove symbolizes peace.
不可避免,失败有时不可避免。,Sometimes failure is unavoidable.
人间,人间处处有温情。,There is warmth everywhere in the human world.
以下,以下内容请仔细阅读。,Please read the following content carefully.
优美,她的舞姿非常优美。,Her dance moves are very graceful.
公元,这是公元一世纪。,This is the first century CE.
变换,灯光不断变换颜色。,The lights keep changing colors.
口,他家有五口人。,There are five people in his family.
合理,这个价格很合理。,This price is very reasonable.
外界,他很少关注外界。,He rarely pays attention to the outside world.
天空,天空中飘着白云。,White clouds float in the sky.
实在,这道题实在太难了。,This problem is really too difficult.
寒,天气渐渐转寒了。,The weather is gradually turning cold.
尝试,我们应该勇于尝试。,We should be brave enough to try.
常用,这是一个常用词。,This is a commonly used word.
必,你必须努力学习。,You must study hard.
患,他患了重感冒。,He came down with a bad cold.
打哈欠,他上课时打哈欠。,He yawned during class.
无关,这件事与我无关。,This matter has nothing to do with me.
时代,我们生活在信息时代。,We live in the information age.
显然,显然他说错了。,"Clearly, he made a mistake."
有益,运动对健康有益。,Exercise is beneficial to health.
有限,我们的时间有限。,Our time is limited.
构成,这些问题构成威胁。,These problems constitute a threat.
梅花,梅花在冬天开放。,Plum blossoms bloom in winter.
源,这是问题的根源。,This is the root of the problem.
现代,这是一座现代建筑。,This is a modern building.
