hanzi,sentence,en
巧妙,他的方法很巧妙。,His method is very clever.
市中心,我们住在市中心。,We live downtown.
广大,沙漠面积十分广大。,The desert's area is extremely vast.
应付,他很会应付困难。,He is good at dealing with difficulties.
当今世界,当今世界变化很快。,Today's world changes very fast.
形势,现在形势很复杂。,The situation now is very complicated.
形象,他很注重自己的形象。,He pays much attention to his own image.
思路,他的思路很清楚。,His train of thought is very clear.
总共,这些东西总共多少钱？,How much do these things cost altogether?
总算,他总算考上了大学。,He finally got into university.
惭愧,他为自己的错误感到惭愧。,He felt ashamed of his mistake.
意外,路上发生了意外。,An accident happened on the road.
意识,他渐渐失去了意识。,He gradually lost consciousness.
感受,说说你的感受吧。,Tell us your feelings.
或是,你可以坐车或是走路。,You can take the bus or walk.
所谓,所谓成功需要努力。,So-called success requires effort.
打喷嚏,他突然打喷嚏了。,He suddenly sneezed.
打败,我们打败了对手。,We defeated our opponent.
持续,雨持续下了三天。,The rain continued for three days.
指出,老师指出了错误。,The teacher pointed out the mistake.
指导,老师指导我们写作。,The teacher guides us in writing.
挡住,大树挡住了阳光。,The big tree blocked the sunlight.
损失,这场火灾损失很大。,This fire caused great losses.
捡,他捡起地上的钱包。,He picked up the wallet on the ground.
据说,据说他明天回国。,It is said that he is returning to his country tomorrow.
摄影,他对摄影很感兴趣。,He is very interested in photography.
撞,他不小心撞到了门。,He accidentally bumped into the door.
擅长,她擅长画画。,She is good at drawing.
敌人,士兵们打败了敌人。,The soldiers defeated the enemy.
整条,整条街都很安静。,The entire street is very quiet.
早已,他早已离开这里。,He left here long ago.
有害,吸烟对身体有害。,Smoking is harmful to the body.
服务态度,这家店服务态度很好。,This shop's service attitude is very good.
本领,他有很大的本领。,He has great abilities.
某个,他住在某个城市。,He lives in a certain city.
核心,这是问题的核心。,This is the core of the problem.
模仿,弟弟喜欢模仿爸爸说话。,My younger brother likes to imitate the way dad talks.
此,此事非常重要，请大家注意。,This matter is very important; please everyone pay attention.
毕竟,他毕竟是个孩子，还不懂事。,"After all, he's just a child and doesn't understand yet."
毛病,这台电脑有点毛病。,This computer has a bit of a problem.
毛笔,爷爷用毛笔写字。,Grandpa writes with a writing brush.
气,车胎没气了。,The tire is out of air.
浇水,我每天给花浇水。,I water the flowers every day.
海鲜,这家餐厅的海鲜很新鲜。,This restaurant's seafood is very fresh.
清淡,医生让我吃清淡的食物。,The doctor told me to eat light food.
热烈,大家热烈鼓掌欢迎他。,Everyone applauded warmly to welcome him.
照常,明天商店照常营业。,Tomorrow the store will open as usual.
特殊,今天是个特殊的日子。,Today is a special day.
特色,这道菜很有特色。,This dish has a lot of character.
狡猾,那只狐狸非常狡猾。,That fox is very cunning.
独立,孩子应该学会独立。,Children should learn to be independent.
理由,他没有理由拒绝。,He has no reason to refuse.
电池,这个手电筒需要电池。,This flashlight needs batteries.
看望,周末我去看望奶奶。,On the weekend I'll go visit grandma.
短暂,假期总是很短暂。,Vacations are always very brief.
确认,请确认你的邮箱地址。,Please confirm your email address.
秘密,这是我们两个人的秘密。,This is a secret between the two of us.
窗帘,妈妈买了新窗帘。,Mom bought new curtains.
签合同,公司今天签合同。,The company is signing a contract today.
纷纷,下课后学生们纷纷离开。,"After class, the students left one after another."
结构,这栋楼的结构很特别。,This building's structure is very special.
结论,我们还没得出结论。,We haven't reached a conclusion yet.
结账,吃完饭我们去结账。,"After eating, we'll go pay the bill."
编辑,她的工作是编辑杂志。,Her job is editing magazines.
胃,我的胃有点疼。,My stomach hurts a little.
能干,她是个很能干的员工。,She is a very capable employee.
舒适,这张床睡起来很舒适。,This bed is very comfortable to sleep in.
艰苦,那段日子过得很艰苦。,Those days were very hard.
营业,这家商店九点开始营业。,This store starts business at nine.
营养价值,这种蔬菜营养价值很高。,This vegetable has high nutritional value.
营养成分,请看看包装上的营养成分。,Please look at the nutritional content on the package.
补充,运动后要补充水分。,After exercise you need to replenish fluids.
表明,这个结果表明他是对的。,This result shows that he is right.
装满,箱子里装满了书。,The box is filled with books.
计算,请帮我计算一下总数。,Please help me calculate the total.
设备,这家工厂的设备很先进。,This factory's equipment is very advanced.
设计师,他是一位有名的设计师。,He is a famous designer.
话题,我们换个话题聊吧。,Let's change the topic.
说服,我终于说服了爸爸。,I finally persuaded my dad.
豪华,他们住在一家豪华酒店。,They are staying at a luxurious hotel.
资料,老师让我们查资料。,The teacher asked us to look up materials.
赞美,大家都赞美这幅画。,Everyone praises this painting.
赞赏,老板很赞赏他的努力。,The boss really admires his hard work.
赶上,我们差点没赶上火车。,We almost didn't catch the train.
跟着,小狗跟着主人走。,The dog follows its owner.
身份证,出门要带身份证。,You need to bring your ID when going out.
身心健康,运动有助于身心健康。,Exercise helps physical and mental health.
躲,他躲在门后面。,He hid behind the door.
车库,汽车停在车库里。,The car is parked in the garage.
轻视,我们不能轻视对手。,We can't look down on our opponent.
辣椒,这道菜放了很多辣椒。,This dish has a lot of chili in it.
达到,他终于达到了目标。,He finally achieved his goal.
这回,这回我们一定会成功。,This time we will definitely succeed.
这天,这天天气特别好。,On this day the weather was especially nice.
逃跑,小偷看到警察就逃跑了。,The thief ran away when he saw the police.
酒吧,晚上我们去酒吧喝酒。,Tonight we're going to the bar to drink.
铁,这把椅子是铁做的。,This chair is made of iron.
销量,这款手机销量很高。,This phone's sales volume is very high.
闻到,我闻到了饭的香味。,I smelled the fragrance of the food.
陆续,客人们陆续到达了。,The guests arrived one after another.
陌生,这是一个陌生的城市。,This is an unfamiliar city.
难度,这次考试难度不小。,The difficulty of this exam is not small.
顿时,听到消息，她顿时哭了。,"Hearing the news, she immediately started crying."
预测,专家预测明天会下雨。,Experts predict it will rain tomorrow.
颗,桌上有一颗糖。,There's a piece of candy on the table.
风俗,每个地方的风俗不同。,Every place's customs are different.
饿死,我快要饿死了。,I'm starving to death.
驾驶,他正在驾驶飞机。,He is piloting the plane.
一笔,他赚了一笔钱。,He earned a sum of money.
不成,光说不做可不成。,Just talking without doing won't do.
不肯,他不肯接受帮助。,He is unwilling to accept help.
两地,他们夫妻分居两地。,The couple lives apart in two places.
为何,你为何不回答我？,Why don't you answer me?
书房,爸爸正在书房看书。,Dad is reading in the study.
事先,请事先通知我们。,Please notify us in advance.
人家,村里只有几户人家。,There are only a few households in the village.
传,这个消息很快就传开了。,This news spread quickly.
传说,这是一个古老的传说。,This is an ancient legend.
何时,你何时能回来？,When can you come back?
保留,请保留好你的发票。,Please keep your receipt.
借口,他总是找借口迟到。,He always finds excuses to be late.
光线,这个房间光线很好。,This room has good lighting.
克,这块蛋糕重两百克。,This piece of cake weighs two hundred grams.
再三,妈妈再三提醒我小心。,Mom reminded me over and over to be careful.
写作,他喜欢写作小说。,He likes writing novels.
冷冻,妈妈把肉放进冰箱冷冻。,Mom put the meat in the fridge to freeze.
分享,我想和你分享这个好消息。,I want to share this good news with you.
分布,这些学校分布在全国各地。,These schools are distributed all over the country.
制度,这个公司的制度很严格。,This company's system is very strict.
刺激,辣的食物刺激他的肠胃。,Spicy food irritates his stomach.
刻,现在是九点一刻。,It's a quarter past nine now.
勤奋,他学习非常勤奋。,He studies very diligently.
去掉,请去掉这句话。,Please remove this sentence.
古时候,古时候人们没有手机。,"In ancient times, people didn't have phones."
可口,这道菜非常可口。,This dish is very tasty.
同一,我们上同一所大学。,We attend the same university.
同类,这些产品属于同类。,These products belong to the same category.
周五,我们周五去看电影。,We're going to watch a movie on Friday.
喊道,他喊道有人来了。,He shouted that someone was coming.
围,士兵们围着城堡。,The soldiers surrounded the castle.
固定,请把架子固定好。,Please fix the shelf securely.
夜里,他夜里很少睡觉。,He rarely sleeps at night.
大海,他喜欢看大海。,He likes looking at the sea.
大臣,大臣向皇帝汇报。,The minister reported to the emperor.
学历,他的学历很高。,His educational background is very high.
完整,这份报告很完整。,This report is very complete.
宣布,校长宣布了好消息。,The principal announced good news.
害,谎言会害了他。,Lies will harm him.
家务,她每天做家务。,She does housework every day.
对手,他是我的对手。,He is my opponent.
少年,那个少年很勇敢。,That young boy is very brave.
屋顶,猫坐在屋顶上。,The cat is sitting on the roof.
差异,两者之间有差异。,There is a difference between the two.
