hanzi,sentence,en
一连串,他遇到了一连串的麻烦。,He ran into a string of troubles.
一阵,窗外突然刮起一阵大风。,A gust of wind suddenly blew up outside.
一面,每个人都有软弱的一面。,Everyone has a weak side to them.
万一,万一下雨，记得带伞。,In case it rains
万分,听到消息她万分激动。,"Hearing the news, she was extremely excited."
万能,世上没有万能的方法。,There's no all-purpose method in the world.
三维,这款软件可以制作三维模型。,This software can create 3D models.
上升,气温正在慢慢上升。,The temperature is slowly rising.
上去,你快上去吧。,Go on up quickly.
上学,弟弟每天走路上学。,My little brother walks to school every day.
上岗,新员工培训后正式上岗。,After training
上市,新款手机下周上市。,The new phone hits the market next week.
上当,他因为轻信而上当了。,He was fooled because he trusted too easily.
上方,黑板的上方挂着一幅地图。,A map hangs above the blackboard.
上来,快上来喝杯茶吧。,Come on up and have a cup of tea.
上游,这条河的上游污染严重。,The upper reaches of this river are heavily polluted.
上车,火车马上开了，快上车吧。,The train is about to leave
上述,上述问题需要尽快解决。,The aforementioned issues need to be resolved soon.
下令,司令下令全军立刻撤退。,The commander ordered the whole army to retreat immediately.
下意识,他下意识地摸了摸口袋。,He subconsciously touched his pocket.
下旬,他打算下旬回国。,He plans to return home in late month.
下游,工厂建在河流的下游。,The factory is built downstream on the river.
下调,银行下调了存款利率。,The bank lowered the deposit interest rate.
不一会儿,不一会儿他就回来了。,"In a little while, he came back."
不予,对此事公司不予置评。,The company declined to comment on this matter.
不以为然,他对此不以为然。,He took a dim view of this.
不值,这件事根本不值一提。,This matter isn't even worth mentioning.
不假思索,他不假思索地答应了。,He agreed without a moment's hesitation.
不免,第一次演讲不免紧张。,One's first speech is inevitably nerve-wracking.
不准,这里不准抽烟。,Smoking is not allowed here.
不利,天气对比赛不利。,The weather is unfavorable for the match.
不可思议,这件事真不可思议。,This is truly inconceivable.
不在乎,他根本不在乎别人的看法。,He simply doesn't care what others think.
不妨,你不妨试一试。,You might as well give it a try.
不屑,他对这个提议很不屑。,He is quite disdainful of this proposal.
不已,听到消息他激动不已。,On hearing the news he was endlessly excited.
不得了,这件事闹得不得了。,This matter has blown up into something serious.
不必,你不必担心。,You don't need to worry.
不怎么,我对足球不怎么感兴趣。,I'm not particularly interested in soccer.
不怎么样,这部电影拍得不怎么样。,This movie wasn't very well made.
不慎,他一时不慎摔伤了腿。,He carelessly fell and hurt his leg.
不懈,他不懈努力终于成功。,He worked tirelessly and finally succeeded.
不料,不料半路突然下起雨来。,Unexpectedly
不时,他不时抬头看窗外。,He glanced out the window from time to time.
不易,这件事不易解决。,This matter is not easy to resolve.
不景气,最近经济十分不景气。,The economy has been quite sluggish recently.
不服,他对判决表示不服。,He expressed disagreement with the verdict.
不服气,输了比赛他仍然不服气。,Even after losing the match
不止,参加的人不止十个。,More than ten people took part.
不然,快点出发，不然要迟到了。,Hurry up and leave
不用说,不用说，大家都知道答案。,Needless to say
不相上下,两支球队的实力不相上下。,The two teams are evenly matched in strength.
不禁,她不禁笑了起来。,She couldn't help laughing.
