hanzi,sentence,en
根源,找到问题的根源很重要。,It's important to find the root of the problem.
格局,这场比赛的格局变了。,The pattern of this match has changed.
格式,请按照要求调整格式。,Please adjust the format as required.
栽,爷爷在院子里栽了一棵树。,Grandpa planted a tree in the yard.
栽培,农民精心栽培果树。,The farmer carefully cultivates fruit trees.
框,这幅画配了木框。,This painting has a wooden frame.
桩,这是一桩大事。,This is a major matter.
桶,他提着一桶水走来。,He walked over carrying a bucket of water.
梦想,每个人都有自己的梦想。,Everyone has their own dream.
梦见,昨晚我梦见了你。,Last night I dreamed about you.
梯子,他爬上梯子修屋顶。,He climbed up the ladder to fix the roof.
梳,她用梳子梳头发。,She combs her hair with a comb.
检讨,他写了一份检讨。,He wrote a self-criticism.
检验,产品出厂前要检验。,Products must be inspected before leaving the factory.
棉花,这床被子用棉花做成。,This quilt is made of cotton.
棍,他手里拿着一根棍子。,He was holding a stick in his hand.
棒,你打得真棒。,You played really well.
椰子,海边长满了高大的椰子树。,Tall coconut palms grow all along the beach.
楼,我家住在五楼。,My family lives on the fifth floor.
楼房,这里新建了很多楼房。,Many new buildings have been built here.
概括,请用一句话概括内容。,Please summarize the content in one sentence.
概率,这件事发生的概率很低。,The probability of this happening is very low.
榜样,他是我们学习的榜样。,He is a role model for us to learn from.
榨,妈妈用橙子榨果汁。,Mom presses oranges to make juice.
模式,这种教学模式很有效。,This teaching model is very effective.
模样,她小时候的模样很可爱。,She looked very cute when she was little.
横,请画一条横线。,Please draw a horizontal line.
橘子,我喜欢吃橘子。,I like eating tangerines.
欠,他还欠我一百块钱。,He still owes me a hundred yuan.
次数,他迟到的次数太多了。,He has been late too many times.
欢乐,节日充满了欢乐气氛。,The festival is full of joyful atmosphere.
欣慰,看到孩子成功，他感到欣慰。,"Seeing his child succeed, he felt gratified."
欣欣向荣,这座城市欣欣向荣。,This city is thriving.
欲望,他对成功充满欲望。,He is full of desire for success.
款式,这件衣服的款式很新。,This piece of clothing has a very new style.
歇,我们走累了歇一会儿。,"We're tired from walking, let's rest a while."
歌唱,孩子们在舞台上歌唱。,The children are singing on stage.
歌声,她的歌声非常动听。,Her singing voice is very lovely.
歌手,她是一位有名的歌手。,She is a famous singer.
歌曲,这首歌曲很好听。,This song sounds very nice.
歌颂,这首诗歌颂了母爱。,This poem praises a mother's love.
止,医生让他停止吸烟。,The doctor told him to stop smoking.
止步,请游客止步。,"Please, visitors go no further."
正义,法律代表着社会正义。,The law represents social justice.
正如,正如老师所说的那样。,Just as the teacher said.
正宗,这家店的川菜很正宗。,This restaurant's Sichuan food is very authentic.
正当,这是正当的要求。,This is a legitimate request.
正规,这是一家正规医院。,This is a properly licensed hospital.
正视,我们必须正视问题。,We must face the problem squarely.
正面,请从正面拍照。,Please take the photo from the front.
此前,此前他从未去过中国。,"Before this, he had never been to China."
此后,此后他再也没回来。,"After that, he never came back."
此处,此处禁止停车。,Parking is prohibited here.
此时,此时窗外正下着大雨。,"At this moment, it's raining heavily outside."
此次,此次旅行很愉快。,This trip was very pleasant.
步骤,请按步骤操作机器。,Please operate the machine according to the steps.
武器,士兵放下了武器。,The soldier put down his weapon.
武术,他从小学习中国武术。,He has practiced Chinese martial arts since childhood.
歪,这幅画挂歪了。,This painting is hung crooked.
歪曲,媒体歪曲了事实。,The media distorted the facts.
死亡,车祸导致三人死亡。,The car accident caused three deaths.
歼灭,军队歼灭了敌军。,The army wiped out the enemy troops.
殷勤,服务员对客人十分殷勤。,The waiter was very attentive to the guests.
殿堂,这座殿堂十分庄严。,This hall is very solemn.
毁,大火毁了整栋房子。,The fire destroyed the entire house.
毅力,学好中文需要毅力。,Learning Chinese well requires perseverance.
毅然,他毅然辞去了工作。,He resolutely quit his job.
母子,母子俩相处融洽。,The mother and child get along harmoniously.
毒,这种蘑菇有毒。,This kind of mushroom is poisonous.
比不上,我的水平比不上他。,My level can't compare with his.
比分,现在比分是二比一。,The score is now two to one.
比比皆是,这种错误比比皆是。,This kind of mistake can be found everywhere.
比起,比起以前，他进步很大。,"Compared to before, he has made great progress."
毕业生,今年的毕业生很多。,There are many graduates this year.
毛,这只猫毛很软。,This cat's fur is very soft.
毛衣,妈妈织了一件毛衣。,Mom knitted a sweater.
毫不,他毫不犹豫地答应了。,He agreed without the slightest hesitation.
毫不犹豫,他毫不犹豫地答应了。,He agreed without any hesitation.
毫升,这瓶水有五百毫升。,This bottle of water is five hundred milliliters.
毫无,他对此事毫无兴趣。,He has no interest in this at all.
毫米,这块手表的厚度只有几毫米。,This watch is only a few millimeters thick.
民歌,奶奶会唱很多民歌。,Grandma can sing many folk songs.
气体,这种气体没有颜色。,This gas is colorless.
气势,这座建筑气势宏伟。,This building has a grand and imposing air.
气愤,大家对此感到气愤。,Everyone felt indignant about this.
气象,气象部门发布了预警。,The meteorological department issued a warning.
气馁,失败了也不要气馁。,Don't get discouraged even after failing.
氛围,教室里的氛围很轻松。,The atmosphere in the classroom is relaxed.
