hanzi,sentence,en
蘸,他把饺子蘸了醋。,He dipped the dumpling in vinegar.
虚,他身体有点虚。,He feels a bit weak.
虚伪,他的笑容显得虚伪。,His smile seemed hypocritical.
虚假,这是一条虚假信息。,This is false information.
虚幻,梦中的世界总是虚幻的。,The world in dreams is always illusory.
虚构,这个故事纯属虚构。,This story is purely fictional.
虫子,花园里有很多虫子。,There are many bugs in the garden.
虽说,虽说下雨他还是出门了。,"Although it was raining, he still went out."
蚊子,夏天蚊子特别多。,There are especially many mosquitoes in summer.
蛋白质,鸡蛋含有丰富的蛋白质。,Eggs are rich in protein.
蜡,她点燃了一支蜡烛。,She lit a candle.
融化,雪在阳光下融化了。,The snow melted in the sunlight.
融合,两种文化互相融合。,The two cultures blend into each other.
血管,医生检查了他的血管。,The doctor examined his blood vessels.
行人,请注意路上的行人。,Please watch for pedestrians on the road.
行程,我们的行程很紧张。,Our itinerary is very tight.
行走,老人慢慢行走着。,The old man is walking slowly.
行驶,汽车正在高速行驶。,The car is traveling at high speed.
衔接,两节课内容互相衔接。,The content of the two classes links up.
街头,艺人在街头表演。,The performer is performing on the street.
衡量,我们要衡量利弊得失。,We need to weigh the pros and cons.
衣食住行,衣食住行是生活的基本。,"Food, clothing, housing and transport are life's basics."
补,妈妈帮我补衣服。,Mom helped me mend my clothes.
补偿,公司给予了补偿。,The company provided compensation.
补救,现在补救还来得及。,There's still time to remedy it now.
表态,领导还没有表态。,The leader hasn't stated a position yet.
衬托,绿叶衬托红花更美。,Green leaves make the red flower look more beautiful.
衰老,皮肤随着年龄衰老。,Skin ages along with the years.
衰退,经济出现明显衰退。,The economy has clearly declined.
衷心,我衷心祝福你们。,I sincerely wish you both well.
袋,她拎着一个布袋。,She was carrying a cloth bag.
被动,他在谈判中很被动。,He was quite passive in the negotiation.
被迫,他被迫离开家乡。,He was forced to leave his hometown.
袭击,村庄遭到了敌人袭击。,The village suffered an enemy attack.
裁,她用剪刀裁布料。,She cuts the fabric with scissors.
裁决,法官做出了最终裁决。,The judge made the final ruling.
装备,士兵配齐了装备。,The soldiers were fully equipped.
装饰,她用花装饰房间。,She decorates the room with flowers.
裹,她用毯子裹住孩子。,She wrapped the child in a blanket.
西北,沙漠位于这个国家的西北方向。,The desert is located in the northwest of the country.
西装,他穿了一套西装。,He wore a suit.
要不然,快走吧，要不然会迟到。,"Hurry up, otherwise you'll be late."
要强,她从小就很要强。,She has been ambitious since childhood.
要点,请记下会议的要点。,Please note down the key points of the meeting.
覆盖,大雪覆盖了整个城市。,Heavy snow covered the entire city.
见义勇为,他见义勇为救了人。,He bravely stepped in to save someone.
见解,他对此事有独到见解。,He has a unique perspective on this matter.
见识,旅行让他增长见识。,Traveling broadened his experience.
观望,大家都在观望局势。,Everyone is watching the situation.
观测,科学家观测天气变化。,Scientists observe changes in the weather.
观看,大家一起观看比赛。,Everyone watched the match together.
规格,产品必须符合规格。,The product must meet the standard.
视为,他被大家视为英雄。,He is regarded by everyone as a hero.
视力,他的视力越来越差。,His eyesight is getting worse and worse.
视线,大雾挡住了他的视线。,The thick fog blocked his line of sight.
视角,这是一个新的视角。,This is a new perspective.
视野,山顶的视野十分开阔。,The view from the summit is very expansive.
觉,我觉得这个主意不错。,I think this idea is pretty good.
角色,她在剧中扮演重要角色。,She plays an important role in the drama.
角逐,两队激烈角逐冠军。,The two teams fiercely competed for the championship.
解开,他解开了绳子。,He untied the rope.
解散,队伍最终解散了。,The team was eventually disbanded.
解读,专家解读了这份报告。,The expert interpreted this report.
解除,双方解除了合同。,Both parties terminated the contract.
触动,这句话触动了我。,This sentence touched me.
触目惊心,现场的景象触目惊心。,The scene was shocking to behold.
言行,他的言行受人尊敬。,His words and actions earn people's respect.
言语,他的言语让人感动。,His words moved people.
言辞,他的言辞十分犀利。,His words were very sharp.
警告,老师警告他别迟到。,The teacher warned him not to be late.
警官,警官正在调查案件。,The police officer is investigating the case.
警惕,我们要警惕网络诈骗。,We must be vigilant against online scams.
譬如,譬如说这个方法。,"For example, this method."
计,他早有计划出国留学。,He has long planned to study abroad.
计算机,他学的是计算机专业。,He is majoring in computer science.
计较,别为小事斤斤计较。,Don't fuss over such small matters.
订单,公司收到一份新订单。,The company received a new order.
认出,我一眼就认出他。,I recognized him at a glance.
认定,法院认定他有罪。,The court determined that he was guilty.
认错,他勇敢地认错道歉。,He bravely admitted his mistake and apologized.
训,爸爸训了他一顿。,Dad scolded him.
讲话,校长在台上讲话。,The principal is giving a speech on stage.
