hanzi,sentence,en
打猎,爷爷年轻时常打猎。,Grandpa often went hunting when he was young.
打通,我终于打通了电话。,I finally got through on the phone.
打造,公司努力打造品牌。,The company is working hard to build its brand.
打雷,外面又刮风又打雷。,It's windy and thundering outside.
托,她把脸托在手心上。,She rested her chin in her palm.
执照,他终于拿到了驾驶执照。,He finally got his driver's license.
执着,他对梦想十分执着。,He is very dedicated to his dream.
执行,我们必须严格执行规定。,We must strictly implement the regulations.
扩张,公司正在扩张海外市场。,The company is expanding its overseas market.
扭,她笑着扭过头去。,"She turned her head away, smiling."
扭头,他听见喊声立刻扭头。,He immediately turned his head when he heard the shout.
扶,他扶着奶奶慢慢走路。,He supported his grandmother as she walked slowly.
扶持,政府大力扶持小企业。,The government strongly supports small businesses.
批,校长批准了这个计划。,The principal approved this plan.
批判,他批判了这种做法。,He criticized this practice.
找出,警察终于找出了真相。,The police finally found out the truth.
承包,他承包了这片鱼塘。,He contracted this fish pond.
承载,这座桥能承载很大重量。,This bridge can bear a very heavy load.
技艺,老师傅的技艺非常精湛。,The old master's craftsmanship is superb.
抄写,学生认真抄写课文。,The student carefully copies the text.
把手,门上的把手坏了。,The handle on the door is broken.
抑郁,他最近心情十分抑郁。,He has been feeling very depressed recently.
抑郁症,医生诊断她患了抑郁症。,The doctor diagnosed her with clinical depression.
抓住,他一把抓住了绳子。,He grabbed the rope with one hand.
投,他用力把球投进篮筐。,He threw the ball hard into the basket.
投入,他把全部精力投入工作。,He devoted all his energy to work.
投机,他觉得两人很投机。,He feels the two of them get along very well.
投票,大家举手投票表决。,Everyone raised their hands to vote.
抗争,他们勇敢地抗争到底。,They bravely fought to the end.
折叠,这张桌子可以折叠。,This table can be folded up.
抚摸,她轻轻抚摸小猫的背。,She gently strokes the kitten's back.
抛,他把球抛向空中。,He threw the ball into the air.
抢,小偷抢了她的手机。,The thief snatched her phone.
抢救,医生正在全力抢救病人。,The doctors are working hard to save the patient.
护,母亲用心呵护孩子。,The mother lovingly cares for her child.
报告,他向老板报告了情况。,He reported the situation to his boss.
报废,这辆旧车已经报废了。,This old car has already been scrapped.
报社,他在报社工作多年。,He has worked at the newspaper for many years.
抱负,他从小就有远大抱负。,He has had great ambitions since childhood.
抵御,城墙能抵御敌人进攻。,The city wall can withstand enemy attacks.
抵达,飞机准时抵达机场。,The plane arrived at the airport on time.
抹,她用毛巾抹干桌子。,She wiped the table dry with a towel.
押,他把手表押给了当铺。,He pawned his watch at the pawnshop.
押金,租房需要交押金。,Renting an apartment requires a deposit.
抽屉,钥匙放在抽屉里。,The key is in the drawer.
抽象,这幅画很抽象。,This painting is very abstract.
拄,老人拄着拐杖慢慢走。,"The old man walks slowly, leaning on a cane."
担保,朋友愿意为他担保贷款。,A friend is willing to guarantee his loan.
担忧,父母为他的健康担忧。,His parents worry about his health.
担负,他担负着一家人的生计。,He shoulders the livelihood of the whole family.
拆,工人正在拆旧房子。,Workers are demolishing the old house.
拉,他用力拉门。,He pulled the door hard.
拍照,游客们纷纷拍照留念。,The tourists took photos as souvenirs one after another.
拐杖,爷爷走路要用拐杖。,Grandpa needs a crutch to walk.
拓展,公司想拓展海外市场。,The company wants to expand into overseas markets.
拔,他用力拔出了那颗钉子。,He pulled the nail out forcefully.
拖延,他做事总是喜欢拖延。,He always likes to procrastinate when doing things.
拘束,第一次见面她有点拘束。,She felt a bit reserved at their first meeting.
招,公司正在招新员工。,The company is recruiting new employees.
招待,主人热情招待客人。,The host warmly entertained the guests.
招收,学校今年招收新生。,The school is recruiting new students this year.
招牌,那家店的招牌很显眼。,That shop's sign is very eye-catching.
拜托,这件事就拜托你了。,"This matter is entrusted to you, please."
拜见,他专程去拜见老师。,He made a special trip to pay a formal visit to his teacher.
拜访,明天我要去拜访老师。,Tomorrow I'm going to visit my teacher.
拟,他正在拟一份计划书。,He is drafting a plan.
拥抱,他们紧紧地拥抱在一起。,They hugged each other tightly.
拦,警察拦住了那辆车。,The police stopped that car.
拧,她拧干毛巾擦桌子。,She wrung out the towel to wipe the table.
拨打,请拨打这个电话号码。,Please dial this phone number.
拨通,她终于拨通了电话。,She finally got through on the phone.
拯救,医生拯救了病人的生命。,The doctor saved the patient's life.
拼搏,运动员为梦想拼搏。,The athlete is fighting hard for his dream.
拾,他弯腰拾起地上的钱。,He bent down to pick up the money on the ground.
拿手,做饭是妈妈的拿手好戏。,Cooking is mom's specialty.
拿走,请把垃圾拿走。,Please take the trash away.
持,他手持一把伞。,He held an umbrella in his hand.
持久,这种香味十分持久。,This fragrance is very long-lasting.
挂号,我去医院挂号看病。,I went to the hospital to register and see a doctor.
指定,会议地点已经指定。,The meeting location has already been designated.
