hanzi,sentence,en,th_final
精通,她精通三门外语。,She is proficient in three foreign languages.,เธอเชี่ยวชาญภาษาต่างประเทศสามภาษา
绝望,他对未来感到绝望。,He feels despair about the future.,เขารู้สึกสิ้นหวังกับอนาคต
自动,这扇门会自动打开。,This door opens automatically.,ประตูบานนี้เปิดเองอัตโนมัติ
规范,大家应该遵守规范。,Everyone should follow the standards.,ทุกคนควรทำตามมาตรฐาน
较为,这个问题较为复杂。,This problem is comparatively complex.,ปัญหานี้ค่อนข้างซับซ้อน
运用,他善于运用知识。,He is good at applying knowledge.,เขาเก่งในการนำความรู้ไปใช้
两件,我买了两件衣服。,I bought two pieces of clothing.,ฉันซื้อเสื้อผ้าสองตัว
医术,这位医生医术高明。,This doctor's medical skill is superb.,ฝีมือการรักษาของหมอคนนี้ยอดเยี่ยม
千里马,这匹千里马跑得快。,This fine steed runs very fast.,ม้าพันธุ์ดีตัวนี้วิ่งเร็วมาก
史,他爱读史书。,He loves reading history books.,เขาชอบอ่านหนังสือประวัติศาสตร์
吸引力,这个城市很有吸引力。,This city is very attractive.,เมืองนี้มีเสน่ห์ดึงดูดมาก
型,这是新型手机。,This is a new model of phone.,นี่คือโทรศัพท์รุ่นใหม่
夜间,夜间行车要小心。,Be careful driving at night.,ขับรถตอนกลางคืนต้องระวัง
女子,这位女子很漂亮。,This woman is very beautiful.,ผู้หญิงคนนี้สวยมาก
存活,这种植物很难存活。,This kind of plant is hard to keep alive.,พืชชนิดนี้อยู่รอดได้ยาก
度过,我们度过了愉快的假期。,We spent a pleasant vacation.,เราใช้วันหยุดกันอย่างมีความสุข
心理学,她在大学学心理学。,She studies psychology at university.,เธอเรียนจิตวิทยาที่มหาวิทยาลัย
成分,这种药有多种成分。,This medicine has many components.,ยาชนิดนี้มีส่วนประกอบหลายอย่าง
最佳,他获得了最佳演员奖。,He won the Best Actor award.,เขาได้รับรางวัลนักแสดงยอดเยี่ยม
正是,这正是我想要的。,This is exactly what I wanted.,นี่แหละคือสิ่งที่ฉันต้องการ
治病,医生的职责是治病。,A doctor's duty is to treat illness.,หน้าที่ของหมอคือรักษาโรค
激发,老师激发了学生兴趣。,The teacher aroused the students' interest.,ครูกระตุ้นความสนใจของนักเรียน
独,他喜欢独自旅行。,He likes traveling alone.,เขาชอบเที่ยวคนเดียว
生理,这是正常的生理现象。,This is a normal physiological phenomenon.,นี่เป็นปรากฏการณ์ทางสรีระที่ปกติ
用力,他用力推开了门。,He pushed the door open with force.,เขาออกแรงผลักประตูจนเปิดออก
疼痛,他的膝盖感到疼痛。,His knee feels painful.,เขารู้สึกปวดที่หัวเข่า
立,他从小立志学医。,Since childhood he resolved to study medicine.,เขาตั้งปณิธานจะเรียนแพทย์มาตั้งแต่เด็ก
策略,他们制定了新策略。,They formulated a new strategy.,พวกเขาวางกลยุทธ์ใหม่
脸上,她脸上带着微笑。,She has a smile on her face.,เธอมีรอยยิ้มบนใบหน้า
观点,我同意你的观点。,I agree with your point of view.,ฉันเห็นด้วยกับมุมมองของคุณ
说法,高僧在庙里为信众说法。,The eminent monk preaches Buddhist teachings to the believers in the temple.,พระผู้ใหญ่แสดงธรรมให้ญาติโยมฟังในวัด
道德,我们应该遵守道德。,We should abide by morality.,เราควรยึดมั่นในศีลธรรม
冬,北方的冬天很冷。,Winters in the north are very cold.,ฤดูหนาวทางภาคเหนือหนาวมาก
分餐制,这家餐厅实行分餐制。,This restaurant practices individual-portion dining.,ร้านอาหารนี้ใช้ระบบแบ่งอาหารแยกจานแต่ละคน
厘,这张纸厚一厘米。,This paper is one centimeter thick.,กระดาษแผ่นนี้หนาหนึ่งเซนติเมตร
四川人,他是四川人，很能吃辣。,He is Sichuanese and can handle very spicy food.,เขาเป็นคนเสฉวน กินเผ็ดได้เก่งมาก
地上,书掉在地上了。,The book fell onto the floor.,หนังสือหล่นลงบนพื้น
墨,他用墨写字。,He writes characters with ink.,เขาเขียนตัวหนังสือด้วยหมึก
扩散,消息很快扩散开了。,The news spread quickly.,ข่าวแพร่กระจายไปอย่างรวดเร็ว
晶体,这是一块晶体。,This is a piece of crystal.,นี่คือผลึกชิ้นหนึ่ง
机构,这是一个慈善机构。,This is a charitable organization.,นี่คือองค์กรการกุศล
浇,她每天浇花。,She waters the flowers every day.,เธอรดน้ำต้นไม้ทุกวัน
消费者,消费者喜欢便宜的商品。,Consumers like cheap goods.,ผู้บริโภคชอบสินค้าราคาถูก
温,这杯水很温。,This cup of water is warm.,น้ำแก้วนี้อุ่น
漫画,他喜欢看漫画书。,He likes reading comic books.,เขาชอบอ่านหนังสือการ์ตูน
灭火,消防员正在灭火。,Firefighters are putting out the fire.,นักดับเพลิงกำลังดับไฟ
燃烧,木头正在燃烧。,The wood is burning.,ท่อนไม้กำลังลุกไหม้
胡床,古人坐胡床休息。,Ancient people sat on folding stools to rest.,คนสมัยก่อนนั่งพักบนเก้าอี้พับ
花卉,公园里种满花卉。,The park is full of flowers and plants.,ในสวนสาธารณะเต็มไปด้วยไม้ดอกไม้ประดับ
茶楼,我们在茶楼喝茶。,We drink tea at the teahouse.,เราดื่มชากันที่โรงน้ำชา
蚂蚁,蚂蚁在搬运食物。,The ants are carrying food.,มดกำลังขนอาหาร
血液,血液在血管里流动。,Blood flows through the blood vessels.,เลือดไหลเวียนอยู่ในเส้นเลือด
足迹,雪地上留下足迹。,Footprints were left on the snow.,มีรอยเท้าทิ้งไว้บนพื้นหิมะ
丁,成绩分为甲乙丙丁四等。,"Grades are divided into four levels: A, B, C, D.",เกรดแบ่งเป็นสี่ระดับ คือ เอ บี ซี ดี
人世间,他厌倦了人世间的纷扰。,He is tired of the troubles of the human world.,เขาเบื่อหน่ายกับความวุ่นวายในโลกมนุษย์
县官,县官为百姓办事。,The county magistrate handles affairs for the people.,นายอำเภอจัดการเรื่องต่างๆ ให้ประชาชน
墨汁,他打翻了墨汁。,He spilled the ink.,เขาทำหมึกหก
换算,请把英里换算成公里。,Please convert miles into kilometers.,ช่วยแปลงหน่วยจากไมล์เป็นกิโลเมตรหน่อย
景,这里的景很美。,The scenery here is very beautiful.,ทิวทัศน์ที่นี่สวยงามมาก
每秒,光速是每秒三十万公里。,The speed of light is three hundred thousand kilometers per second.,ความเร็วแสงคือสามแสนกิโลเมตรต่อวินาที
烛,风吹灭了烛火。,The wind blew out the candle flame.,ลมพัดเปลวเทียนดับ
纤,她的手指纤细。,Her fingers are slender.,นิ้วมือของเธอเรียวเล็ก
花香,微风送来阵阵花香。,The breeze carries wafts of flower fragrance.,สายลมพัดพากลิ่นหอมของดอกไม้มาเป็นระยะๆ
萝卜,妈妈买了很多萝卜。,Mom bought a lot of radishes.,แม่ซื้อหัวไชเท้ามาเยอะมาก
蚀,海水侵蚀着海岸。,Seawater erodes the coast.,น้ำทะเลกัดเซาะชายฝั่ง
运河,船在运河上行驶。,The boat sails on the canal.,เรือแล่นอยู่บนคลอง
