hanzi,sentence,en,th
开车,他开车去上班。,He drives to work.,เขาขับรถไปทำงาน
开会,经理正在开会。,The manager is in a meeting.,ผู้จัดการกำลังประชุมอยู่
开了个,他们开了个店。,They opened a shop.,พวกเขาเปิดร้านขึ้นมาร้านหนึ่ง
开门,商店九点开门。,The store opens at nine.,ร้านเปิดตอนเก้าโมง
看不清,我看不清黑板。,I can't see the blackboard clearly.,ฉันมองกระดานดำไม่ชัด
看不清楚,字太小看不清楚。,The text is too small to see clearly.,ตัวหนังสือเล็กเกินไปมองไม่ชัด
看到,我在路上看到他了。,I saw him on the road.,ฉันเห็นเขาระหว่างทาง
看得远,站得高看得远。,Standing higher lets you see farther.,ยืนสูงมองเห็นได้ไกล
看电视,我喜欢看电视。,I like watching TV.,ฉันชอบดูโทรทัศน์
看来,看来要下雨了。,It looks like it's going to rain.,ดูท่าฝนจะตกแล้ว
看起来,他看起来很累。,He looks very tired.,เขาดูเหนื่อยมาก
看清楚,请你看清楚地图。,Please look at the map clearly.,กรุณาดูแผนที่ให้ชัดเจน
看球赛,我们一起看球赛。,Let's watch the ball game together.,เราไปดูการแข่งบอลด้วยกัน
看上去,她看上去很累。,She looks very tired.,เธอดูเหนื่อยมาก
看书,我喜欢在家看书。,I like reading at home.,ฉันชอบอ่านหนังสือที่บ้าน
看一看,让我看一看。,Let me have a look.,ให้ฉันดูหน่อยสิ
考试成绩,他的考试成绩很好。,His exam results are very good.,ผลสอบของเขาดีมาก
可爱,这只小猫真可爱。,This little cat is really cute.,แมวตัวน้อยตัวนี้น่ารักจริงๆ
渴,我很渴，想喝水。,I'm very thirsty and want to drink water.,ฉันกระหายน้ำมาก อยากดื่มน้ำ
客人,家里来了很多客人。,Many guests came to the house.,ที่บ้านมีแขกมาเยอะมาก
空调,房间里有空调。,There's air conditioning in the room.,ในห้องมีเครื่องปรับอากาศ
口渴,我现在很口渴。,I'm very thirsty right now.,ตอนนี้ฉันกระหายน้ำมาก
哭,妹妹一个人在哭。,My little sister is crying alone.,น้องสาวร้องไห้อยู่คนเดียว
裤子,这条裤子太长了。,These pants are too long.,กางเกงตัวนี้ยาวเกินไป
块钱,这本书十块钱。,This book costs ten yuan.,หนังสือเล่มนี้ราคาสิบหยวน
快点儿,你快点儿走。,Hurry up and go.,คุณรีบไปเร็วๆ หน่อย
快好了,晚饭快好了。,Dinner is almost ready.,อาหารเย็นใกล้เสร็จแล้ว
筷子,我用筷子吃饭。,I eat with chopsticks.,ฉันใช้ตะเกียบกินข้าว
来说,对我来说很难。,It's hard for me.,สำหรับฉันแล้วมันยากมาก
蓝,她喜欢蓝色。,She likes blue.,เธอชอบสีฟ้า
蓝色,天空是蓝色的。,The sky is blue.,ท้องฟ้าเป็นสีฟ้า
蓝天,外面是蓝天白云。,"Outside, it's blue sky and white clouds.",ข้างนอกท้องฟ้าสีฟ้าและมีเมฆขาว
老,他家的猫很老了。,His family's cat is very old.,แมวที่บ้านเขาแก่มากแล้ว
老房子,这是一座老房子。,This is an old house.,นี่คือบ้านหลังเก่า
老歌,妈妈喜欢听老歌。,Mom likes listening to old songs.,แม่ชอบฟังเพลงเก่าๆ
老话,这是一句老话。,This is an old saying.,นี่เป็นคำพูดโบราณ
老李,老李是我的邻居。,Old Li is my neighbor.,เหลาหลี่เป็นเพื่อนบ้านของฉัน
老年人,公园里有很多老年人。,There are many elderly people in the park.,ในสวนสาธารณะมีผู้สูงอายุเยอะมาก
老朋友,他是我的老朋友。,He is my old friend.,เขาเป็นเพื่อนเก่าของฉัน
老人,公园里有很多老人。,There are many elderly people in the park.,ในสวนสาธารณะมีผู้สูงอายุเยอะมาก
老王,老王是我同事。,Old Wang is my colleague.,เหลาหวังเป็นเพื่อนร่วมงานของฉัน
乐,他今天很快乐。,He is very happy today.,วันนี้เขามีความสุขมาก
了解,我想了解你。,I want to get to know you.,ฉันอยากทำความรู้จักคุณ
累坏,今天真是累坏了。,I'm really exhausted today.,วันนี้เหนื่อยมากจริงๆ
离开,他明天要离开北京。,He is leaving Beijing tomorrow.,พรุ่งนี้เขาจะออกจากปักกิ่ง
礼物,这是给你的生日礼物。,This is a birthday present for you.,นี่คือของขวัญวันเกิดสำหรับคุณ
李经理,李经理在开会。,Manager Li is in a meeting.,ผู้จัดการหลี่กำลังประชุมอยู่
李先生,李先生是我的老师。,Mr. Li is my teacher.,คุณหลี่เป็นครูของฉัน
李小姐,李小姐是老师。,Miss Li is a teacher.,คุณหลี่เป็นครู
历史,我喜欢历史课。,I like history class.,ฉันชอบวิชาประวัติศาสตร์
脸,他的脸很红。,His face is very red.,หน้าของเขาแดงมาก
