hanzi,sentence,en,th_final
开设,学校新开设了一门课程。,The school newly offered a course.,โรงเรียนเปิดสอนวิชาใหม่วิชาหนึ่ง
开辟,政府计划开辟新航线。,The government plans to open a new route.,รัฐบาลวางแผนจะเปิดเส้นทางเดินเรือใหม่
开通,这条地铁线刚开通。,This subway line just opened.,รถไฟใต้ดินสายนี้เพิ่งเปิดให้บริการ
异常,这次考试成绩异常出色。,This exam result was exceptionally outstanding.,คะแนนสอบครั้งนี้ดีเยี่ยมผิดปกติ
异性,青春期孩子开始关注异性。,Teenagers begin to notice the opposite sex.,เด็กวัยรุ่นเริ่มสนใจเพศตรงข้าม
弊端,这项制度存在不少弊端。,This system has quite a few flaws.,ระบบนี้มีข้อเสียอยู่ไม่น้อย
式,这是一种新式设计。,This is a new type of design.,นี่คือดีไซน์แบบใหม่
引,他引起了大家的注意。,He attracted everyone's attention.,เขาดึงความสนใจของทุกคน
引人注目,她的裙子十分引人注目。,Her dress is very eye-catching.,กระโปรงของเธอสะดุดตามาก
引入,学校引入了新的教材。,The school introduced new textbooks.,โรงเรียนนำตำราเรียนใหม่เข้ามาใช้
引发,这句话引发了争议。,This remark triggered controversy.,ประโยคนี้ทำให้เกิดการโต้เถียง
引用,他在文章里引用了名言。,He quoted a famous saying in his article.,เขาอ้างคำคมมาใช้ในบทความ
引领,他引领着队伍向前走。,He leads the team forward.,เขานำทีมเดินไปข้างหน้า
弟子,他收了三个弟子。,He took on three disciples.,เขารับลูกศิษย์สามคน
弥漫,浓雾弥漫在山谷之中。,Thick fog fills the valley.,หมอกหนาปกคลุมไปทั่วหุบเขา
弥补,他努力弥补自己的过错。,He worked hard to make up for his mistake.,เขาพยายามชดเชยความผิดของตัวเอง
弯,这条路突然转了个弯。,This road suddenly took a turn.,ถนนสายนี้จู่ๆ ก็หักโค้ง
弯曲,这条山路十分弯曲。,This mountain road is very winding.,ทางบนภูเขาสายนี้คดเคี้ยวมาก
弱点,每个人都有自己的弱点。,Everyone has their own weaknesses.,ทุกคนล้วนมีจุดอ่อนของตัวเอง
弹,士兵带着子弹。,The soldier carries bullets.,ทหารพกกระสุนติดตัว
