hanzi,sentence,en,th_final
死去,他的爷爷去年死去了。,His grandfather died last year.,ปู่ของเขาเสียชีวิตเมื่อปีที่แล้ว
母亲河,黄河是中国人的母亲河。,The Yellow River is the mother river of the Chinese people.,แม่น้ำหวงเหอเป็นแม่น้ำแม่ของคนจีน
每件事,他每件事都做得很认真。,He does every single thing very carefully.,เขาทำทุกเรื่องอย่างตั้งใจมาก
每当,每当下雨，我就想家。,"Whenever it rains, I miss home.",ทุกครั้งที่ฝนตก ฉันก็คิดถึงบ้าน
比如,我喜欢运动，比如跑步。,"I like sports, for example running.",ฉันชอบออกกำลังกาย เช่น วิ่ง
比如说,比如说，你可以先看书。,"For example, you could read a book first.",ยกตัวอย่างเช่น เธอลองอ่านหนังสือก่อนก็ได้
水草,河里长满了水草。,The river is full of aquatic plants.,ในแม่น้ำเต็มไปด้วยพืชน้ำ
汽车,我们坐汽车去。,We're going by car.,เรานั่งรถยนต์ไป
汽车族,他们是典型的汽车族。,They are typical car commuters.,พวกเขาเป็นกลุ่มคนที่ใช้รถยนต์เดินทางทั่วไป
没钱买,我没钱买新手机。,I don't have money to buy a new phone.,ฉันไม่มีเงินซื้อมือถือใหม่
没错,没错，就是这样。,"That's right, it's just like that.",ใช่แล้ว มันเป็นแบบนั้นแหละ
法,他懂法，也守法。,He understands the law and also abides by it.,เขาเข้าใจกฎหมาย และก็ทำตามกฎหมายด้วย
注意力,请集中注意力。,Please concentrate your attention.,ช่วยรวบรวมสมาธิหน่อย
洗手,吃饭前要洗手。,Wash your hands before eating.,ก่อนกินข้าวต้องล้างมือ
洗衣服,妈妈在洗衣服。,Mom is washing clothes.,แม่กำลังซักผ้า
海边,我们在海边玩。,We played at the seaside.,เราเล่นกันที่ริมทะเล
澡,我想去洗个热水澡。,I want to go take a hot bath.,ฉันอยากไปอาบน้ำอุ่น
烤鸭店,这家烤鸭店很有名。,This roast duck restaurant is very famous.,ร้านเป็ดย่างร้านนี้ดังมาก
爱人,这是我爱人。,This is my spouse.,นี่คือคู่ชีวิตของฉัน
爱好音乐,我从小就爱好音乐。,I've been fond of music since childhood.,ฉันชอบดนตรีมาตั้งแต่เด็ก
牙刷,请把牙刷放好。,Please put the toothbrush away properly.,ช่วยเก็บแปรงสีฟันให้เรียบร้อย
环保,我们要注意环保。,We should pay attention to environmental protection.,เราต้องใส่ใจการรักษาสิ่งแวดล้อม
理,他说话很有理。,What he says makes sense.,สิ่งที่เขาพูดมีเหตุผลมาก
理发师,我爸爸是理发师。,My dad is a barber.,พ่อของฉันเป็นช่างตัดผม
瓶子,桌子上有一个瓶子。,There's a bottle on the table.,บนโต๊ะมีขวดใบหนึ่ง
用水,请节约用水。,Please conserve water.,ช่วยใช้น้ำอย่างประหยัด
申请表,请填写申请表。,Please fill out the application form.,กรุณากรอกใบสมัคร
登机牌,请出示登机牌。,Please show your boarding pass.,กรุณาแสดงบัตรขึ้นเครื่อง
直到,他直到现在才来。,He didn't come until now.,เขาไม่มาจนกระทั่งเดี๋ยวนี้เอง
相互信任,朋友之间要相互信任。,Friends should trust each other.,เพื่อนต้องไว้ใจซึ่งกันและกัน
相距,两地相距一百公里。,The two places are 100 kilometers apart.,สองที่นี้ห่างกันร้อยกิโลเมตร
省市,这些省市经济发达。,These provinces and cities have developed economies.,มณฑลและเมืองเหล่านี้เศรษฐกิจเจริญรุ่งเรือง
看出,我看出他很累。,I could see that he was very tired.,ฉันดูออกว่าเขาเหนื่อยมาก
看清,我没看清黑板上的字。,I didn't see the words on the blackboard clearly.,ฉันมองตัวหนังสือบนกระดานดำไม่ชัด
睡懒觉,周末我喜欢睡懒觉。,On weekends I like to sleep in.,วันหยุดฉันชอบนอนตื่นสาย
知识面,他的知识面很广。,His breadth of knowledge is wide.,เขามีความรู้กว้างขวางมาก
科学研究,这是重要的科学研究。,This is important scientific research.,นี่คืองานวิจัยทางวิทยาศาสตร์ที่สำคัญ
租,我想租一套房子。,I want to rent an apartment.,ฉันอยากเช่าบ้านสักหลัง
租出去,他把房子租出去了。,He rented out his house.,เขาปล่อยบ้านให้เช่าไปแล้ว
租房,在北京租房很贵。,Renting an apartment in Beijing is expensive.,เช่าบ้านที่ปักกิ่งแพงมาก
积极主动,工作要积极主动。,You should be proactive at work.,การทำงานต้องกระตือรือร้นและลงมือเอง
稍,请稍等一下。,Please wait a moment.,กรุณารอสักครู่
穷,他家以前很穷。,His family used to be poor.,เมื่อก่อนบ้านเขาจนมาก
穷人的孩子早当家,穷人的孩子早当家。,Children of poor families take on responsibility early.,เด็กบ้านจนต้องรับผิดชอบครอบครัวตั้งแต่เล็ก
符合条件,他符合条件。,He meets the requirements.,เขามีคุณสมบัติครบตามเงื่อนไข
第一名,她考了第一名。,She got first place in the exam.,เธอสอบได้ที่หนึ่ง
箱子,我的箱子很重。,My suitcase is very heavy.,กระเป๋าเดินทางของฉันหนักมาก
红楼梦,我在读红楼梦。,I'm reading Dream of the Red Chamber.,ฉันกำลังอ่านเรื่องความฝันในหอแดง
纸,请给我一张纸。,Please give me a piece of paper.,ขอกระดาษให้ฉันแผ่นหนึ่ง
给出,请给出你的理由。,Please give your reason.,ช่วยบอกเหตุผลของเธอมา
网球场,学校里有网球场。,There's a tennis court at school.,ในโรงเรียนมีสนามเทนนิส
翻译成,请把这句话翻译成英语。,Please translate this sentence into English.,ช่วยแปลประโยคนี้เป็นภาษาอังกฤษ
老照片,我找到了一张老照片。,I found an old photo.,ฉันเจอรูปเก่ารูปหนึ่ง
考上,他考上了北京大学。,He got admitted to Peking University.,เขาสอบติดมหาวิทยาลัยปักกิ่ง
