hanzi,sentence,en
渠道,公司拓展了销售渠道。,The company expanded its sales channels.
渡过,他们成功渡过了难关。,They successfully got through the difficulty.
温和,她说话的语气很温和。,She speaks in a gentle tone.
温柔,她说话的语气总是很温柔。,Her tone of voice is always gentle.
温泉,冬天泡温泉是一种享受。,Soaking in a hot spring in winter is a real treat.
游人,公园里挤满了游人。,The park was crowded with tourists.
游玩,我们去公园游玩。,We went to the park to have fun.
游览,我们打算游览故宫。,We plan to visit the Forbidden City.
渺小,在宇宙中人类十分渺小。,Humans are tiny within the universe.
湖泊,这个地区有很多湖泊。,This region has many lakes.
湿,外面下雨衣服都湿了。,It's raining outside so the clothes are all wet.
湿度,今天的湿度非常高。,Today's humidity is very high.
源于,这个习俗源于古代传说。,This custom originates from an ancient legend.
溶解,糖在水中很快溶解。,Sugar dissolves quickly in water.
滑,地面很滑，小心点。,"The ground is slippery, be careful."
滑冰,冬天孩子们喜欢滑冰。,Children like skating in winter.
滔滔不绝,他讲起故事滔滔不绝。,"Once he starts telling stories, he never stops talking."
滚,水已经滚了可以下面条。,"The water is boiling, you can put in the noodles."
滚动,球从桌上滚动下来。,The ball rolled off the table.
满怀,他满怀希望地出发了。,He set off filled with hope.
滴,水龙头一直在滴水。,The faucet keeps dripping water.
漂,树叶在水面漂着。,The leaves are floating on the water.
漏,屋顶下雨天会漏水。,The roof leaks when it rains.
演习,学校举行了消防演习。,The school held a fire drill.
演奏,她将在音乐厅演奏钢琴。,She will perform on the piano at the concert hall.
演绎,这部电影演绎了一段爱情。,This movie portrays a love story.
演讲,他在台上认真演讲。,He gave a serious speech on stage.
漫长,这是一段漫长的旅程。,This is a long journey.
潇洒,他的动作十分潇洒。,His movements are very graceful and relaxed.
潜力,这个孩子很有潜力。,This child has a lot of potential.
潜在,这个市场有很大潜在价值。,This market has great potential value.
潮,海边的潮已经退了。,The tide by the sea has already gone out.
潮流,她穿衣打扮很赶潮流。,Her outfits really keep up with trends.
潮湿,地下室很潮湿。,The basement is very damp.
激情,他对音乐充满激情。,He is full of passion for music.
激活,请输入密码激活账户。,Please enter the password to activate the account.
激起,这个消息激起了大家的愤怒。,This news aroused everyone's anger.
瀑布,这条瀑布非常壮观。,This waterfall is very spectacular.
灌溉,农民用河水灌溉农田。,Farmers irrigate the fields with river water.
火候,炒菜要掌握好火候。,Stir-frying requires good heat control.
火灾,这场火灾造成了巨大损失。,This fire caused enormous losses.
火焰,蜡烛的火焰在摇曳。,The candle's flame is flickering.
火箭,这枚火箭成功发射了。,This rocket was launched successfully.
火花,电线冒出了火花。,Sparks flew from the wire.
火辣辣,夏天的太阳火辣辣的。,The summer sun is scorching hot.
灭,大家一起把火灭了。,Everyone worked together to put out the fire.
灭亡,那个古老王朝已灭亡。,That ancient dynasty has perished.
灭绝,恐龙早已灭绝了。,Dinosaurs became extinct long ago.
灯笼,春节家家挂灯笼。,During Spring Festival every household hangs lanterns.
灵巧,她的双手非常灵巧。,Her hands are very nimble.
灵魂,音乐能触动人的灵魂。,Music can touch a person's soul.
灾区,志愿者赶往灾区救援。,Volunteers rushed to the disaster area to help.
灾害,地震是一种自然灾害。,An earthquake is a kind of natural disaster.
灾难,地震是一场可怕的灾难。,An earthquake is a terrible disaster.
炉子,厨房里有一个炉子。,There is a stove in the kitchen.
炎热,夏天天气非常炎热。,The weather is extremely hot in summer.
炒,妈妈在厨房炒青菜。,Mom is stir-frying vegetables in the kitchen.
炫耀,他喜欢向朋友炫耀新车。,He likes to show off his new car to friends.
炸药,工人们用炸药炸开了岩石。,The workers used explosives to blast open the rock.
点火,他划了根火柴点火。,He struck a match to light a fire.
点缀,花朵点缀着整个花园。,Flowers adorn the entire garden.
点评,老师对作文做了点评。,The teacher gave comments on the essay.
炼,工厂用高温炼铁。,The factory smelts iron at high temperature.
烂,这个苹果已经烂了。,This apple has already gone bad.
烟,房间里全是烟味。,The room is full of the smell of smoke.
烟花,除夕夜到处都有烟花。,On New Year's Eve there are fireworks everywhere.
烤鸭,北京烤鸭非常有名。,Beijing roast duck is very famous.
烦,这件事让他很烦。,This matter is really annoying him.
烦躁,天气太热让人烦躁。,The hot weather makes people irritable.
烫,小心别烫伤了手。,Be careful not to scald your hand.
热带,这种植物生长在热带。,This plant grows in the tropics.
热点,这是最近的社会热点。,This is a recent hot topic in society.
热门,这是今年最热门的话题。,This is the hottest topic this year.
焦点,这件事成了大家的焦点。,This matter became everyone's focus.
焦虑,考试前他感到很焦虑。,He felt very anxious before the exam.
焦躁,等待结果让他很焦躁。,Waiting for the result made him restless.
焰火,广场上放起了焰火。,Fireworks went off in the square.
煤,工厂需要大量的煤。,The factory needs a large amount of coal.
煤炭,这个地区盛产煤炭。,This region is rich in coal.
照料,她每天照料生病的母亲。,She takes care of her sick mother every day.
照明,这条街道的照明设备很老旧。,The lighting equipment on this street is very old.
照耀,阳光照耀着大地。,Sunlight shines upon the earth.
熊,森林里有一只熊。,There is a bear in the forest.
熏陶,他从小受艺术熏陶。,He was influenced by art since childhood.
熟,苹果已经熟了。,The apple is already ripe.
熟练,他操作机器非常熟练。,He operates the machine very skillfully.
燃料,汽车需要加满燃料。,The car needs to be filled up with fuel.
爆,气球突然爆了。,The balloon suddenly burst.
爆发,战争突然爆发了。,War suddenly broke out.
爆炸,厨房突然发生了爆炸。,An explosion suddenly occurred in the kitchen.
爪子,猫用爪子抓门。,The cat scratches the door with its claw.
爱不释手,他对这本书爱不释手。,He loves this book so much he can't put it down.
爱心,他常常向灾区捐赠爱心物资。,He often donates charity supplies to disaster areas.
爱惜,我们要爱惜粮食。,We should cherish food.
爱护,我们要爱护公共设施。,We should take care of public facilities.
爱面子,他非常爱面子。,He cares a lot about saving face.
父女,这对父女很亲密。,This father and daughter are very close.
爽快,他做事很爽快。,He acts in a straightforward way.
片面,他的看法有点片面。,His view is a bit one-sided.
牌子,门口挂着一块牌子。,A sign hangs at the doorway.
牙齿,医生检查了他的牙齿。,The doctor examined his teeth.
牛,农场里养着牛。,Cows are raised on the farm.
牛仔裤,她穿了一条牛仔裤。,She wore a pair of jeans.
牡丹,公园里种满牡丹。,The park is full of peonies.
牢,门锁得很牢。,The door is locked very firmly.
牢固,这座桥非常牢固。,This bridge is very sturdy.
牧场,羊群在牧场上吃草。,The sheep graze on the pasture.
物品,请检查随身物品。,Please check your personal belongings.
物资,救援物资已经送到灾区。,Relief supplies have already been delivered to the disaster area.
牵,妈妈牵着孩子的手。,Mom holds her child's hand.
特产,这是本地的特产。,This is a local specialty.
特制,这是厨师特制的酱料。,This is a sauce specially made by the chef.
特地,我特地来看你。,I came specially to see you.
特定,这是特定的场合。,This is a specific occasion.
特征,这种鸟有明显的特征。,This bird has obvious distinguishing traits.
特性,每种材料都有特性。,Every material has its own properties.
特有,这是熊猫特有的特征。,This is a characteristic unique to pandas.
特长,唱歌是她的特长。,Singing is her special talent.
牺牲,他为国家牺牲了。,He sacrificed himself for the country.
犯,他不小心犯了错误。,He accidentally made a mistake.
犯规,那名球员犯规了。,That player committed a foul.
状元,他是今年的状元。,He is this year's top scorer.
犹豫不决,他做决定总是犹豫不决。,He is always hesitant when making decisions.
狂欢,大家彻夜狂欢。,Everyone partied all night.
独一无二,每个人都是独一无二的。,Everyone is unique.
独立自主,国家实现了独立自主。,The country achieved independence and self-reliance.
独自,她独自一人去旅行。,She traveled alone.
狭小,这个房间十分狭小。,This room is very narrow and small.
狭窄,这条街道十分狭窄。,This street is very narrow.
