hanzi,sentence,en
统一,国家实现了统一。,The country achieved unification.
装修,他们在装修房子。,They are renovating the house.
询问,我向老师询问问题。,I asked the teacher a question.
退休,爷爷去年退休了。,Grandpa retired last year.
风格,这幅画风格独特。,This painting has a unique style.
一座,那是一座大桥。,That is a bridge.
一项,这是一项新任务。,This is a new task.
产品,这家公司的产品很好。,This company's products are great.
从不,他从不迟到。,He is never late.
令人,这个消息令人高兴。,This news is delightful.
保存,请保存好这份文件。,Please save this document properly.
充分,他做了充分准备。,He made ample preparations.
出色,她表现得很出色。,She performed outstandingly.
可怕,那场火灾很可怕。,That fire was terrifying.
善良,她心地善良。,She is kindhearted.
属于,这本书属于我。,This book belongs to me.
常常,我常常去公园。,I often go to the park.
平静,海面很平静。,The sea is very calm.
想象,你能想象吗？,Can you imagine that?
感激,我非常感激你。,I am very grateful to you.
成语,这个成语很有名。,This idiom is very famous.
承认,他承认自己错了。,He admitted he was wrong.
摇,他摇了摇头。,He shook his head.
救,医生救了他的命。,The doctor saved his life.
渐渐,天渐渐黑了。,It gradually got dark.
粮食,农民种植粮食。,Farmers grow grain.
规律,生活要有规律。,Life should have a regular routine.
评价,老师评价了他的作文。,The teacher evaluated his essay.
资金,公司缺少资金。,The company lacks funds.
运气,他今天运气很好。,He has good luck today.
亲人,他和亲人团聚了。,He reunited with his family.
吸收,植物吸收阳光。,Plants absorb sunlight.
形式,这是一种新形式。,This is a new form.
心理学家,他是一位心理学家。,He is a psychologist.
拥有,他拥有很多书。,He owns many books.
虽,他虽穷，却很快乐。,"Although he is poor, he is very happy."
命令,将军下达了命令。,The general issued an order.
大脑,大脑需要休息。,The brain needs rest.
挤,他挤进了人群。,He squeezed into the crowd.
村民,村民们很热情。,The villagers are very friendly.
法官,法官很公正。,The judge is very fair.
狐狸,狐狸很聪明。,The fox is very clever.
碎,玻璃杯摔碎了。,The glass cup shattered when it fell.
品牌,这是有名的品牌。,This is a famous brand.
喊,他大声喊了一声。,He shouted loudly.
围棋,爷爷喜欢下围棋。,Grandpa likes playing Go.
强壮,他身体很强壮。,He is physically strong.
扫,她每天扫地。,She sweeps the floor every day.
有氧,游泳是有氧运动。,Swimming is aerobic exercise.
海豚,海豚非常聪明。,Dolphins are very intelligent.
玉米粒,盘子里有玉米粒。,There are corn kernels on the plate.
破洞,裤子上有破洞。,There's a hole in the pants.
硬盘,电脑硬盘坏了。,The computer's hard disk is broken.
酒杯,桌上放着酒杯。,There's a wine cup on the table.
上涨,房价一直上涨。,Housing prices keep rising.
不如,今天不如昨天热。,Today isn't as hot as yesterday.
佩服,我很佩服他。,I really admire him.
修改,他修改了文章。,He revised the article.
健身,她每天去健身。,She goes to work out every day.
利于,运动利于健康。,Exercise is beneficial to health.
制定,公司制定了计划。,The company drew up a plan.
卧室,他的卧室很干净。,His bedroom is very clean.
好奇,孩子对世界很好奇。,Children are curious about the world.
威胁,他威胁要离开。,He threatened to leave.
婚礼,婚礼办得很热闹。,The wedding was very lively.
悲观,他对未来很悲观。,He is pessimistic about the future.
批准,计划被批准了。,The plan was approved.
无奈,他很无奈地笑了。,He smiled helplessly.
确定,这件事还不确定。,This matter isn't certain yet.
缓解,运动可以缓解压力。,Exercise can relieve stress.
谦虚,他为人很谦虚。,He is a modest person.
贷款,他向银行贷款。,He took out a loan from the bank.
赞成,大家都赞成这个主意。,Everyone approves of this idea.
过敏,我对花粉过敏。,I'm allergic to pollen.
面临,公司面临困难。,The company is facing difficulties.
一道,我们一道去吧。,Let's go together.
世上,世上有很多好人。,There are many good people in the world.
中心,公园在城市中心。,The park is in the city center.
临时,他临时改变计划。,He changed his plan at the last minute.
付出,他付出了很多努力。,He put in a lot of effort.
促进,运动促进健康。,Exercise promotes health.
冒险,他喜欢冒险。,He likes to take risks.
创造,他创造了奇迹。,He created a miracle.
包括,价格包括早餐。,The price includes breakfast.
否定,他否定了这个说法。,He denied this claim.
命运,他相信命运。,He believes in fate.
和谐,家庭关系很和谐。,The family relationship is harmonious.
因而,他很努力，因而成功了。,"He worked hard, and therefore succeeded."
声,他喊了一声。,He gave a shout.
处于,公司处于困难时期。,The company is in a difficult period.
字幕,这部电影有字幕。,This movie has subtitles.
工作效率,他工作效率很高。,His work efficiency is very high.
年纪,你多大年纪了？,How old are you?
开发,公司开发新产品。,The company develops new products.
录取,他被大学录取了。,He was admitted to university.
忍不住,她忍不住笑了。,She couldn't help laughing.
愿望,他实现了愿望。,He fulfilled his wish.
承担,他承担了责任。,He took on the responsibility.
抓,猫抓住了老鼠。,The cat caught the mouse.
有利于,运动有利于健康。,Exercise is beneficial to health.
样式,这件衣服的样式很好看。,This dress's style looks very nice.
比喻,他把时间比喻成金钱。,He compares time to money.
流传,这个故事流传了很多年。,This story has circulated for many years.
病人,医生正在照顾病人。,The doctor is taking care of the patient.
相对,今天天气相对暖和。,Today's weather is relatively warm.
突出,他的成绩非常突出。,His grades are very outstanding.
绘画,她喜欢绘画和音乐。,She likes drawing and music.
良好,他有良好的学习习惯。,He has good study habits.
若,"若明天下雨,我们就不去。","If it rains tomorrow, we won't go."
表面,湖水表面很平静。,The lake's surface is very calm.
训练,教练每天训练运动员。,The coach trains the athletes every day.
达,山顶高达三千米。,The mountain peak reaches as high as three thousand meters.
