hanzi,sentence,en,th_final
以往,他比以往更加努力了。,He is working harder than ever before.,ตอนนี้เขาขยันกว่าแต่ก่อนมาก
以至于,他太紧张，以至于说不出话。,He was so nervous that he couldn't speak.,เขาตื่นเต้นมากจนพูดไม่ออก
以致,他没复习，以致考试不及格。,He didn't review,เขาไม่ได้อ่านหนังสือทบทวน เลยสอบตก
仪器,实验室里有精密仪器。,The lab has precision instruments.,ในห้องทดลองมีเครื่องมือที่แม่นยำ
价,这个价我可以接受。,I can accept this price.,ราคานี้ฉันรับได้
价钱,这件衣服的价钱不贵。,The price of this piece of clothing isn't expensive.,เสื้อตัวนี้ราคาไม่แพง
任,他被任为项目经理。,He was appointed as the project manager.,เขาได้รับแต่งตั้งเป็นผู้จัดการโครงการ
任意,你可以任意选择座位。,You may choose any seat you like.,เธอเลือกที่นั่งได้ตามใจชอบ
仿佛,她仿佛没听见。,It seemed as if she hadn't heard.,เธอทำเหมือนไม่ได้ยิน
休想,你休想骗过我的眼睛。,Don't even think about fooling me.,อย่าหวังว่าจะหลอกตาฉันได้
休眠,这座火山已经休眠很久。,This volcano has been dormant for a long time.,ภูเขาไฟลูกนี้สงบนิ่งมานานแล้ว
休闲,周末适合休闲放松。,Weekends are good for leisure and relaxation.,วันหยุดสุดสัปดาห์เหมาะกับการพักผ่อนหย่อนใจ
众人,众人纷纷点头同意。,Everyone nodded in agreement.,ทุกคนพากันพยักหน้าเห็นด้วย
优质,这家工厂生产优质产品。,This factory produces high-quality products.,โรงงานนี้ผลิตสินค้าคุณภาพดี
优越,他家的经济条件十分优越。,His family's financial situation is very advantageous.,ฐานะทางการเงินของครอบครัวเขาดีมาก
优雅,她的动作十分优雅。,Her movements are very graceful.,ท่าทางของเธอสง่างามมาก
会场,会场里坐满了代表。,The meeting hall was filled with delegates.,ในห้องประชุมเต็มไปด้วยตัวแทน
会见,校长今天会见客人。,The principal is meeting guests today.,วันนี้ผู้อำนวยการพบปะแขก
会诊,几位专家为病人会诊。,Several experts held a consultation for the patient.,ผู้เชี่ยวชาญหลายคนร่วมกันวินิจฉัยอาการให้คนไข้
传奇,他的一生充满传奇色彩。,His life was full of legendary color.,ชีวิตของเขาเต็มไปด้วยสีสันแห่งตำนาน
传承,这门手艺代代传承。,This craft has been passed down through generations.,งานฝีมือนี้สืบทอดกันมาจากรุ่นสู่รุ่น
传授,老师向学生传授知识。,The teacher imparts knowledge to the students.,ครูถ่ายทอดความรู้ให้นักเรียน
传染,这种病会传染给别人。,This disease can be transmitted to others.,โรคนี้ติดต่อไปยังคนอื่นได้
传染病,医院正在预防传染病。,The hospital is preventing infectious disease.,โรงพยาบาลกำลังป้องกันโรคติดต่อ
传记,她读了一本名人传记。,She read a biography of a famous person.,เธออ่านหนังสือชีวประวัติของคนดัง
传达,他向大家传达了消息。,He conveyed the news to everyone.,เขาแจ้งข่าวให้ทุกคนได้รู้
伤口,医生正在处理伤口。,The doctor is treating the wound.,หมอกำลังทำแผลอยู่
伪装,他伪装成一名医生。,He disguised himself as a doctor.,เขาปลอมตัวเป็นหมอ
伯父,我伯父住在上海。,My uncle lives in Shanghai.,ลุงของฉันอาศัยอยู่ที่เซี่ยงไฮ้
伴,老人希望有个伴。,The old man wishes for a companion.,คนแก่อยากมีเพื่อนคอยอยู่เป็นเพื่อนสักคน
伴随,成功往往伴随着汗水。,Success is often accompanied by hard work.,ความสำเร็จมักมาพร้อมกับหยาดเหงื่อ
位子,请帮我占一个位子。,Please save a seat for me.,ช่วยจองที่นั่งให้ฉันหน่อย
低下,他出身低下但很努力。,His background is humble but he works hard.,เขาเกิดมาต่ำต้อยแต่ก็ขยันมาก
低价,商店正在低价出售。,The store is selling at a low price.,ร้านกำลังขายในราคาถูก
低估,不要低估对手的实力。,Don't underestimate your opponent's strength.,อย่าประเมินคู่ต่อสู้ต่ำเกินไป
低温,冰箱要保持低温状态。,The fridge needs to stay at a low temperature.,ตู้เย็นต้องรักษาอุณหภูมิให้ต่ำ
住处,他终于找到了住处。,He finally found a place to live.,ในที่สุดเขาก็หาที่พักได้
住宅,这一带都是高档住宅。,This area is all upscale residences.,แถวนี้เป็นบ้านพักหรูทั้งนั้น
住房,政府增加了住房供应。,The government increased housing supply.,รัฐบาลเพิ่มการจัดหาที่อยู่อาศัย
体操,她从小练习体操。,She has practiced gymnastics since childhood.,เธอฝึกยิมนาสติกมาตั้งแต่เด็ก
体温,护士给病人量体温。,The nurse takes the patient's temperature.,พยาบาลวัดอุณหภูมิร่างกายให้คนไข้
体能,运动员每天训练体能。,Athletes train their physical fitness every day.,นักกีฬาฝึกสมรรถภาพร่างกายทุกวัน
体谅,请你多体谅他的难处。,Please be more understanding of his difficulties.,ช่วยเห็นใจความลำบากของเขาหน่อย
体贴,丈夫对她很体贴。,Her husband is very considerate towards her.,สามีเอาใจใส่เธอมาก
体重,他最近体重下降了。,His weight has dropped recently.,ช่วงนี้น้ำหนักของเขาลดลง
体面,他希望工作体面一点。,He hopes for a job with more dignity.,เขาอยากมีงานที่ดูมีหน้ามีตาหน่อย
何况,大人都累，何况小孩。,"Even adults get tired, let alone kids.",ขนาดผู้ใหญ่ยังเหนื่อยเลย นับประสาอะไรกับเด็ก
何必,你何必这么生气呢。,Why must you be so angry?,เธอจะต้องโกรธขนาดนี้ทำไม?
余,余今日甚感欣慰。,I feel quite gratified today.,วันนี้ข้าพเจ้ารู้สึกปลาบปลื้มยิ่งนัก
作战,士兵们勇敢地作战。,The soldiers fought bravely.,เหล่าทหารต่อสู้อย่างกล้าหาญ
作文,老师让我们写一篇作文。,The teacher asked us to write an essay.,ครูให้เราเขียนเรียงความหนึ่งเรื่อง
作风,他工作作风很严谨。,His work style is very rigorous.,สไตล์การทำงานของเขารอบคอบรัดกุมมาก
佳节,中秋佳节全家团圆。,"During the Mid-Autumn festive day, the whole family reunites.",เทศกาลไหว้พระจันทร์ ทั้งครอบครัวได้อยู่พร้อมหน้ากัน
使劲,他使劲推开了大门。,He pushed the door open with all his strength.,เขาออกแรงดันประตูจนเปิดออก
使者,他被派去当和平使者。,He was sent as an envoy of peace.,เขาถูกส่งไปเป็นทูตสันติภาพ
例外,这次考试没有一个例外。,This exam had no exceptions at all.,การสอบครั้งนี้ไม่มีข้อยกเว้นแม้แต่คนเดียว
供不应求,这种产品供不应求。,This product is in short supply.,สินค้าชนิดนี้ผลิตไม่ทันความต้องการ
供奉,村民在庙里供奉神像。,The villagers enshrine and worship a statue in the temple.,ชาวบ้านกราบไหว้บูชาเทวรูปในวัด
供求,价格由供求关系决定。,Price is determined by the relationship between supply and demand.,ราคาถูกกำหนดโดยความสัมพันธ์ระหว่างอุปสงค์และอุปทาน
供给,农场供给全城的蔬菜。,The farm supplies vegetables to the whole city.,ฟาร์มแห่งนี้ส่งผักให้ทั้งเมือง
依,孩子依靠父母生活。,Children rely on their parents for living.,เด็กๆ พึ่งพาพ่อแม่ในการใช้ชีวิต
依依不舍,朋友们依依不舍地告别。,The friends said goodbye reluctantly.,เพื่อนๆ ร่ำลากันอย่างอาลัยอาวรณ์
依托,小镇经济依托旅游业。,The town's economy relies on tourism.,เศรษฐกิจของเมืองเล็กๆ นี้พึ่งพาการท่องเที่ยว
依据,他依据事实做出判断。,He made a judgment based on the facts.,เขาตัดสินโดยอ้างอิงจากข้อเท็จจริง
依旧,她依旧每天早起锻炼。,She still gets up early to exercise every day.,เธอยังคงตื่นเช้ามาออกกำลังกายทุกวันเหมือนเดิม
依照,请依照规定办理手续。,Please handle the procedure according to regulations.,กรุณาดำเนินการตามระเบียบ
侧面,从侧面看这栋楼很高。,"Seen from the side, this building is very tall.",มองจากด้านข้าง ตึกนี้สูงมาก
侵占,他非法侵占了公司财产。,He illegally embezzled the company's assets.,เขาฮุบทรัพย์สินของบริษัทไปอย่างผิดกฎหมาย
便于,这个设计便于携带。,This design is convenient to carry.,ดีไซน์นี้พกพาสะดวก
便利,网购给生活带来便利。,Online shopping brings convenience to life.,การช้อปปิ้งออนไลน์ทำให้ชีวิตสะดวกสบายขึ้น
便捷,网上购物十分便捷。,Online shopping is very convenient.,การซื้อของออนไลน์สะดวกรวดเร็วมาก
