hanzi,sentence,en
死去,他的爷爷去年死去了。,His grandfather died last year.
母亲河,黄河是中国人的母亲河。,The Yellow River is the mother river of the Chinese people.
每件事,他每件事都做得很认真。,He does every single thing very carefully.
每当,每当下雨，我就想家。,"Whenever it rains, I miss home."
比如,我喜欢运动，比如跑步。,"I like sports, for example running."
比如说,比如说，你可以先看书。,"For example, you could read a book first."
水草,河里长满了水草。,The river is full of aquatic plants.
汽车,我们坐汽车去。,We're going by car.
汽车族,他们是典型的汽车族。,They are typical car commuters.
没钱买,我没钱买新手机。,I don't have money to buy a new phone.
没错,没错，就是这样。,"That's right, it's just like that."
法,他懂法，也守法。,He understands the law and also abides by it.
注意力,请集中注意力。,Please concentrate your attention.
洗手,吃饭前要洗手。,Wash your hands before eating.
洗衣服,妈妈在洗衣服。,Mom is washing clothes.
海边,我们在海边玩。,We played at the seaside.
澡,我想去洗个热水澡。,I want to go take a hot bath.
烤鸭店,这家烤鸭店很有名。,This roast duck restaurant is very famous.
爱人,这是我爱人。,This is my spouse.
爱好音乐,我从小就爱好音乐。,I've been fond of music since childhood.
牙刷,请把牙刷放好。,Please put the toothbrush away properly.
环保,我们要注意环保。,We should pay attention to environmental protection.
理,他说话很有理。,What he says makes sense.
理发师,我爸爸是理发师。,My dad is a barber.
瓶子,桌子上有一个瓶子。,There's a bottle on the table.
用水,请节约用水。,Please conserve water.
申请表,请填写申请表。,Please fill out the application form.
登机牌,请出示登机牌。,Please show your boarding pass.
直到,他直到现在才来。,He didn't come until now.
相互信任,朋友之间要相互信任。,Friends should trust each other.
相距,两地相距一百公里。,The two places are 100 kilometers apart.
省市,这些省市经济发达。,These provinces and cities have developed economies.
看出,我看出他很累。,I could see that he was very tired.
看清,我没看清黑板上的字。,I didn't see the words on the blackboard clearly.
睡懒觉,周末我喜欢睡懒觉。,On weekends I like to sleep in.
知识面,他的知识面很广。,His breadth of knowledge is wide.
科学研究,这是重要的科学研究。,This is important scientific research.
租,我想租一套房子。,I want to rent an apartment.
租出去,他把房子租出去了。,He rented out his house.
租房,在北京租房很贵。,Renting an apartment in Beijing is expensive.
积极主动,工作要积极主动。,You should be proactive at work.
稍,请稍等一下。,Please wait a moment.
穷,他家以前很穷。,His family used to be poor.
穷人的孩子早当家,穷人的孩子早当家。,Children of poor families take on responsibility early.
符合条件,他符合条件。,He meets the requirements.
第一名,她考了第一名。,She got first place in the exam.
箱子,我的箱子很重。,My suitcase is very heavy.
红楼梦,我在读红楼梦。,I'm reading Dream of the Red Chamber.
纸,请给我一张纸。,Please give me a piece of paper.
给出,请给出你的理由。,Please give your reason.
网球场,学校里有网球场。,There's a tennis court at school.
翻译成,请把这句话翻译成英语。,Please translate this sentence into English.
老照片,我找到了一张老照片。,I found an old photo.
考上,他考上了北京大学。,He got admitted to Peking University.
肚子疼,我肚子疼得厉害。,My stomach hurts badly.
胳膊,他的胳膊很疼。,His arm hurts a lot.
脸红,她一说话就脸红。,She blushes whenever she speaks.
脾气好,我奶奶脾气好。,My grandma is good-tempered.
至,从一月至三月都很冷。,It's cold from January to March.
苹果树,院子里有一棵苹果树。,There's an apple tree in the yard.
西部,他住在城市西部。,He lives in the western part of the city.
西门,我同学姓西门。,My classmate's surname is Ximen.
认清,我们要认清事实。,We need to clearly recognize the facts.
讲信用,做人要讲信用。,One should keep one's word.
访问,校长访问了那所学校。,The principal visited that school.
读者,这本书受读者欢迎。,This book is popular among readers.
走出,他走出了教室。,He walked out of the classroom.
走向,这条路走向远方。,This road leads towards the distance.
走过,他走过我身边。,He walked past me.
越来越少,树上的叶子越来越少。,There are fewer and fewer leaves on the tree.
路边,车停在路边。,The car is parked on the roadside.
过年,我们全家一起过年。,Our whole family celebrates Chinese New Year together.
运动量,他每天的运动量很大。,His amount of exercise every day is very large.
这样一来,这样一来，问题就解决了。,"This way, the problem is solved."
进球,他终于进球了。,He finally scored a goal.
远离,请远离危险的地方。,Please stay away from dangerous places.
适应环境,他很快适应环境。,He quickly adapted to the environment.
逛,我周末想去逛街。,I want to go window-shopping this weekend.
逛逛,我们去商店逛逛。,Let's go take a stroll around the store.
速度慢,这辆车的速度慢。,This car's speed is slow.
遍,他跑遍了全世界。,He has traveled all over the world.
道路,这条道路很宽。,This road is very wide.
邓亚萍,邓亚萍是有名的运动员。,Deng Yaping is a famous athlete.
部,他在教育部工作。,He works at the Ministry of Education.
醒,我早上七点醒了。,I woke up at seven in the morning.
重新认识,这件事让他重新认识自己。,This matter made him understand himself anew.
重要性,大家都知道健康的重要性。,Everyone knows the importance of health.
量,这袋米的量不够。,The amount of rice in this bag is not enough.
钢琴,她每天练习钢琴。,She practices piano every day.
降低标准,公司决定降低标准。,The company decided to lower the standard.
降温,明天开始降温了。,It starts to get cooler tomorrow.
降落,飞机马上就要降落了。,The plane is about to land.
降雨,今年夏天降雨很多。,There has been a lot of rainfall this summer.
院子,他家有一个大院子。,His home has a big courtyard.
院长,他是医院的院长。,He is the head of the hospital.
难道,难道你不认识我了？,Could it be that you don't recognize me anymore?
集合,大家在门口集合。,Everyone gathers at the door.
雨水,这几天雨水很多。,There has been a lot of rainwater these past few days.
非常感谢,我非常感谢你的帮助。,I am extremely grateful for your help.
飞往,这班飞机飞往北京。,This flight flies to Beijing.
饮用,这水可以直接饮用。,This water can be drunk directly.
首都体育馆,比赛在首都体育馆举行。,The competition is held at the Capital Gymnasium.
香味,厨房飘来一阵香味。,A fragrance wafted from the kitchen.
一块,他吃了一块面包。,He ate a piece of bread.
一眼,我看了他一眼。,I glanced at him.
三年,我学了三年汉语。,I have studied Chinese for three years.
不幸,这是一个不幸的消息。,This is an unfortunate piece of news.
不通,这条路今天不通。,This road is blocked today.
两岁,我女儿今年两岁。,My daughter is two years old this year.
久坐,久坐对身体不好。,Sitting for a long time is not good for the body.
人体,水对人体很重要。,Water is very important for the human body.
以南,长江以南气候温暖。,"South of the Yangtze River, the climate is warm."
任何人,任何人都可以参加。,Anyone can participate.
减,医生让他减一点体重。,The doctor told him to lose a little weight.
出售,这套房子正在出售。,This house is currently for sale.
印,这张纸上印着字。,There are characters printed on this paper.
受到限制,他的行动受到限制。,His movement is restricted.
场,昨晚下了一场雨。,It rained last night.
外语,他会说三种外语。,He can speak three foreign languages.
多发,冬天感冒多发。,Colds occur frequently in winter.
大事,结婚是人生大事。,Marriage is a major event in life.
好心,谢谢你的好心帮助。,Thank you for your kind help.
学到老,他一直坚持学到老。,"He has always kept learning, even into old age."
小伙子,这个小伙子很热情。,This young man is very enthusiastic.
小村子,他住在一个小村子里。,He lives in a small village.
小组讨论,我们下午有小组讨论。,We have a group discussion this afternoon.
带给,音乐带给我快乐。,Music brings me happiness.
广西,他的老家在广西。,His hometown is in Guangxi.
总的来说,总的来说，今天很顺利。,"Generally speaking, today went smoothly."
情感,这首歌表达了情感。,This song expresses emotion.
感冒药,我去药店买感冒药。,I'm going to the pharmacy to buy cold medicine.
手机号码,请告诉我你的手机号码。,Please tell me your mobile phone number.
打球,我们下午去打球。,We're going to play ball this afternoon.
抽烟室,机场里有抽烟室。,There is a smoking room in the airport.
教学,他从事教学工作。,He works in teaching.
敲门声,我听到了敲门声。,I heard the sound of knocking on the door.
新闻报道,这是今天的新闻报道。,This is today's news report.
无声电影,爷爷喜欢看无声电影。,Grandpa likes watching silent movies.
晚会,学校举办了一个晚会。,The school held an evening party.
来看,从这件事来看，他很努力。,"Judging from this matter, he is very hardworking."
歌词,这首歌的歌词很美。,The lyrics of this song are beautiful.
