hanzi,sentence,en,th_final
原有,保持原有的样子。,Keep it as it originally was.,รักษาสภาพเดิมไว้
原材料,工厂缺乏原材料生产。,The factory lacks raw materials for production.,โรงงานขาดวัตถุดิบในการผลิต
去向,没人知道他的去向。,No one knows his whereabouts.,ไม่มีใครรู้ว่าเขาหายไปไหน
去处,这附近有很多好去处。,There are many great places nearby.,แถวนี้มีที่เที่ยวดีๆ หลายที่
去除,这种方法能去除污渍。,This method can remove stains.,วิธีนี้ช่วยขจัดคราบได้
参赛,他决定参赛。,He decided to compete.,เขาตัดสินใจเข้าร่วมแข่งขัน
叉,桌上放着一把叉。,There is a fork on the table.,บนโต๊ะมีส้อมวางอยู่
叉子,请给我一把叉子。,Please give me a fork.,ขอส้อมให้ฉันหน่อย
及其,他研究语言及其起源。,He studies language and its origins.,เขาศึกษาภาษาและต้นกำเนิดของมัน
及早,发现问题应及早解决。,Problems should be solved as early as possible.,พบปัญหาแล้วควรรีบแก้ไขแต่เนิ่นๆ
友人,他收到一位友人的来信。,He received a letter from a friend.,เขาได้รับจดหมายจากเพื่อนคนหนึ่ง
双向,这条路是双向车道。,This road has two-way lanes.,ถนนสายนี้เป็นถนนแบบสองทาง
双手,她用双手捧着花。,She held the flower with both hands.,เธอใช้สองมือประคองดอกไม้
双胞胎,这对双胞胎长得一模一样。,These twins look exactly alike.,ฝาแฝดคู่นี้หน้าเหมือนกันเป๊ะ
双重,他承受着双重压力。,He is bearing a double burden of pressure.,เขากำลังแบกรับความกดดันสองเท่า
反倒,批评反倒让他更努力。,The criticism instead made him work harder.,คำวิจารณ์กลับทำให้เขาพยายามมากขึ้น
反差,两地生活水平反差很大。,There is a big contrast in living standards between the two places.,ระดับความเป็นอยู่ของสองที่นี้แตกต่างกันมาก
反常,今年冬天的气温十分反常。,This winter's temperature is very abnormal.,อุณหภูมิหน้าหนาวปีนี้ผิดปกติมาก
反思,我们应该反思这次失败。,We should reflect on this failure.,เราควรไตร่ตรองทบทวนความล้มเหลวครั้งนี้
反感,大家对他的态度很反感。,Everyone is disgusted with his attitude.,ทุกคนรู้สึกรังเกียจท่าทีของเขา
反过来,反过来想问题就简单了。,Thinking about it the other way makes the problem simple.,ลองคิดกลับกันดู ปัญหาก็จะง่ายขึ้น
反面,请在纸的反面写下姓名。,Please write your name on the back of the paper.,ช่วยเขียนชื่อไว้ด้านหลังกระดาษด้วย
反馈,请给我们一些反馈。,Please give us some feedback.,ช่วยให้ข้อเสนอแนะกับเราหน่อย
发动,司机发动了汽车引擎。,The driver started the car's engine.,คนขับสตาร์ทเครื่องยนต์รถ
发射,火箭马上就要发射了。,The rocket is about to launch.,จรวดกำลังจะถูกยิงขึ้นแล้ว
发怒,老板因迟到而发怒。,The boss got angry because of the lateness.,เจ้านายโกรธเพราะมาสาย
发愁,他正为学费发愁。,He is worried about tuition.,เขากำลังกลุ้มใจเรื่องค่าเทอม
发扬,我们要发扬这种精神。,We should carry forward this spirit.,เราต้องสืบสานจิตวิญญาณแบบนี้ต่อไป
发扬光大,这门手艺被发扬光大。,This craft has been further developed and promoted.,มีการสืบสานและต่อยอดงานฝีมือแขนงนี้ให้เจริญรุ่งเรือง
发抖,他冷得浑身发抖。,He was shivering all over from the cold.,เขาหนาวจนตัวสั่นไปทั้งตัว
发掘,考古队发掘出古代文物。,The archaeological team excavated ancient artifacts.,ทีมนักโบราณคดีขุดพบโบราณวัตถุ
发放,公司按时发放工资。,The company pays wages on time.,บริษัทจ่ายเงินเดือนตรงเวลา
发源地,这里是中华文明的发源地。,This is the birthplace of Chinese civilization.,ที่นี่คือแหล่งกำเนิดอารยธรรมจีน
发电,这座水坝用于发电。,This dam is used to generate electricity.,เขื่อนนี้ใช้ผลิตกระแสไฟฟ้า
发病,这种病秋季容易发病。,This disease tends to occur in autumn.,โรคนี้มักกำเริบในฤดูใบไม้ร่วง
发育,孩子正处在发育阶段。,The child is currently in a growth stage.,เด็กกำลังอยู่ในช่วงเจริญเติบโต
发行,新专辑将于下月发行。,The new album will be released next month.,อัลบั้มใหม่จะวางจำหน่ายเดือนหน้า
发觉,他发觉钱包不见了。,He noticed his wallet was missing.,เขารู้สึกตัวว่ากระเป๋าเงินหายไป
