hanzi,sentence,en,th_final
扑灭,消防员扑灭了大火。,Firefighters extinguished the big fire.,นักดับเพลิงดับไฟใหญ่ได้แล้ว
故,电脑忽然出故障了。,The computer suddenly malfunctioned.,จู่ๆ คอมพิวเตอร์ก็เสีย
术,这位医生医术高明。,This doctor's medical skill is excellent.,หมอคนนี้ฝีมือการรักษาเยี่ยมมาก
根,这棵树的根很深。,This tree's root is very deep.,รากของต้นไม้ต้นนี้ลึกมาก
泉水,山上流出清澈泉水。,Clear spring water flows down the mountain.,น้ำพุใสๆ ไหลลงมาจากภูเขา
洞,山上有一个大洞。,There is a big cave on the mountain.,บนภูเขามีถ้ำใหญ่อยู่ถ้ำหนึ่ง
深处,森林深处非常安静。,Deep in the forest it is very quiet.,ลึกเข้าไปในป่าเงียบมาก
空中,飞机正在空中飞行。,The plane is flying in the sky.,เครื่องบินกำลังบินอยู่กลางอากาศ
肠胃,他最近肠胃不太好。,His digestive system hasn't been very good lately.,ช่วงนี้เขาท้องไส้ไม่ค่อยดี
肺,吸烟对肺不好。,Smoking is bad for the lungs.,การสูบบุหรี่ไม่ดีต่อปอด
薄,这本书非常薄。,This book is very thin.,หนังสือเล่มนี้บางมาก
蛋壳,蛋壳很容易破碎。,Eggshells break very easily.,เปลือกไข่แตกง่ายมาก
赏,老板赏了他一百元。,The boss rewarded him with a hundred yuan.,เจ้านายให้รางวัลเขาร้อยหยวน
逐,他逐个检查了房间。,He checked the rooms one by one.,เขาตรวจห้องทีละห้อง
镁,镁是一种轻金属。,Magnesium is a lightweight metal.,แมกนีเซียมเป็นโลหะเบาชนิดหนึ่ง
兑换,他去银行兑换外币。,He went to the bank to exchange foreign currency.,เขาไปธนาคารเพื่อแลกเงินตราต่างประเทศ
剁,妈妈在厨房剁肉。,Mom is chopping meat in the kitchen.,แม่กำลังสับเนื้ออยู่ในครัว
化妆师,她想成为化妆师。,She wants to become a make-up artist.,เธออยากเป็นช่างแต่งหน้า
