hanzi,sentence,en,th_final
誉,他被誉为天才画家。,He is acclaimed as a genius painter.,คนยกย่องเขาว่าเป็นจิตรกรอัจฉริยะ
诗,他写了一首诗。,He wrote a poem.,เขาแต่งบทกวีบทหนึ่ง
说完,他说完就走了。,He left right after finishing speaking.,เขาพูดจบก็เดินจากไป
跪,他跪在地上哭了。,He knelt on the ground and cried.,เขาคุกเข่าลงกับพื้นแล้วร้องไห้
辐射,手机辐射对人体有害。,Mobile phone radiation is harmful to the human body.,รังสีจากมือถือเป็นอันตรายต่อร่างกาย
适度,运动要适度，不要过量。,Exercise should be moderate; don't overdo it.,ออกกำลังกายต้องพอดีๆ อย่าหักโหม
遗传,这种病会遗传给孩子。,This disease can be inherited by children.,โรคนี้ถ่ายทอดทางพันธุกรรมไปสู่ลูกได้
鉴定,专家鉴定这幅画是真的。,Experts authenticated that this painting is genuine.,ผู้เชี่ยวชาญตรวจพิสูจน์ว่าภาพนี้เป็นของแท้
针对,这个计划针对年轻人。,This plan targets young people.,แผนนี้มุ่งเป้าไปที่คนรุ่นใหม่
长寿,他希望长寿健康。,He hopes for longevity and health.,เขาหวังว่าจะอายุยืนและสุขภาพดี
随,请大家随我来。,Please everyone follow me.,ทุกคนตามฉันมาเลย
随即,他听完随即离开了。,He left immediately after listening.,เขาฟังจบก็จากไปทันที
隔,用墙把房间隔开。,Separate the room with a wall.,ใช้กำแพงกั้นห้องออกจากกัน
风险,投资总是有风险的。,Investment always carries risk.,การลงทุนมีความเสี่ยงอยู่เสมอ
食欲,他生病了，没有食欲。,He is sick and has no appetite.,เขาป่วยเลยไม่มีความอยากอาหาร
饮酒,开车不能饮酒。,You must not drink alcohol when driving.,ขับรถห้ามดื่มเหล้า
验,医生给他验血。,The doctor tested his blood.,หมอตรวจเลือดให้เขา
高明,这个医生医术高明。,This doctor's medical skill is superb.,หมอคนนี้ฝีมือการรักษาเยี่ยมมาก
一棵树,院子里有一棵树。,There is a tree in the yard.,ในลานบ้านมีต้นไม้ต้นหนึ่ง
两样,他的态度突然两样了。,His attitude suddenly became different.,อยู่ดีๆ ท่าทีของเขาก็เปลี่ยนไปเลย
严谨,他做事非常严谨。,He does things very rigorously.,เขาทำงานละเอียดรอบคอบมาก
京城,古代京城非常繁华。,The ancient capital was very prosperous.,เมืองหลวงในสมัยโบราณเจริญรุ่งเรืองมาก
伤,他的手受伤了。,His hand got injured.,มือของเขาบาดเจ็บ
似的,天冷得像冬天似的。,It's cold as if it were winter.,อากาศหนาวราวกับฤดูหนาวเลย
佳,这道菜味道佳。,This dish tastes excellent.,อาหารจานนี้รสชาติดีเยี่ยม
侍卫,侍卫保护皇帝的安全。,The bodyguard protects the emperor's safety.,องครักษ์คอยคุ้มครองความปลอดภัยของฮ่องเต้
修身养性,他每天练习书法修身养性。,He practices calligraphy every day to cultivate body and mind.,เขาฝึกเขียนพู่กันจีนทุกวันเพื่อขัดเกลาจิตใจ
具备,他具备当老师的条件。,He possesses the qualifications to be a teacher.,เขามีคุณสมบัติพร้อมที่จะเป็นครู
冰川,冰川正在慢慢融化。,The glacier is slowly melting.,ธารน้ำแข็งกำลังค่อยๆ ละลาย
创,他创办了一家公司。,He founded a company.,เขาก่อตั้งบริษัทขึ้นมาแห่งหนึ่ง
各个,各个部门都很忙。,Every department is busy.,ทุกๆ แผนกยุ่งกันหมด
呀,这个苹果真甜呀！,This apple is really sweet!,แอปเปิลลูกนี้หวานจริงๆ เลย!
咬,小狗咬了我一口。,The dog bit me once.,ลูกหมากัดฉันไปทีหนึ่ง
哈欠,他打了一个哈欠。,He let out a yawn.,เขาหาวออกมาทีหนึ่ง
器官,心脏是重要的器官。,The heart is an important organ.,หัวใจเป็นอวัยวะที่สำคัญ
围坐在,一家人围坐在桌旁。,The family sat gathered around the table.,ครอบครัวนั่งล้อมวงรอบโต๊ะ
围墙,花园周围有围墙。,There is a wall around the garden.,รอบๆ สวนมีกำแพงล้อมอยู่
基部,这朵花的基部很粗。,The base of this flower is thick.,โคนของดอกไม้ดอกนี้อวบใหญ่
境,他们已经出境了。,They have already crossed the border out of the country.,พวกเขาออกนอกประเทศไปแล้ว
多项,他获得了多项奖励。,He received multiple awards.,เขาได้รับรางวัลหลายรายการ
大地,春天大地开始变绿。,In spring the earth begins to turn green.,พอถึงฤดูใบไม้ผลิ ผืนแผ่นดินก็เริ่มเขียวขจี
大雾,今天早上有大雾。,There was thick fog this morning.,เช้านี้มีหมอกหนา
大面积,大面积的森林被烧毁。,A large area of forest was burned down.,ป่าเป็นบริเวณกว้างถูกไฟเผาทำลาย
天气预报,天气预报说明天下雨。,The weather forecast says it will rain tomorrow.,พยากรณ์อากาศบอกว่าพรุ่งนี้ฝนตก
审美,她的审美很独特。,Her aesthetic taste is very unique.,รสนิยมด้านความงามของเธอไม่เหมือนใคร
寂寞,一个人在家很寂寞。,Being home alone is very lonely.,อยู่บ้านคนเดียวเหงามาก
密切,两国关系密切。,Relations between the two countries are close.,สองประเทศมีความสัมพันธ์ใกล้ชิดกัน
小花,她是娱乐圈的小花。,She is a popular young actress in showbiz.,เธอเป็นดาราสาวดาวรุ่งในวงการบันเทิง
席地而坐,大家席地而坐聊天。,Everyone sat on the ground and chatted.,ทุกคนนั่งพื้นคุยกัน
延续,这个传统延续至今。,This tradition continues to this day.,ประเพณีนี้สืบทอดมาจนถึงทุกวันนี้
情商,他情商很高。,He has high emotional intelligence.,เขามีความฉลาดทางอารมณ์สูงมาก
成员,他是团队成员之一。,He is one of the team members.,เขาเป็นหนึ่งในสมาชิกทีม
战,双方开战了。,Both sides went to war.,ทั้งสองฝ่ายเปิดศึกกันแล้ว
房,这套房很大。,This house is very big.,บ้านหลังนี้ใหญ่มาก
手脚,他手脚很麻利。,His hands and feet move nimbly.,เขาทำอะไรคล่องแคล่วว่องไว
扛,他扛着一袋米。,He is carrying a bag of rice on his shoulder.,เขาแบกข้าวสารกระสอบหนึ่งไว้บนบ่า
担,他勇于担责任。,He is brave enough to take on responsibility.,เขากล้าที่จะแบกรับความรับผิดชอบ
拨,请拨打这个电话。,Please dial this phone number.,กรุณากดโทรเบอร์นี้
指令,电脑执行指令。,The computer executes the command.,คอมพิวเตอร์ทำงานตามคำสั่ง
推,他推开了门。,He pushed the door open.,เขาผลักประตูเปิดออก
放进,把书放进包里。,Put the book into the bag.,เอาหนังสือใส่เข้าไปในกระเป๋า
新能源,新能源汽车很流行。,New energy vehicles are very popular.,รถยนต์พลังงานใหม่กำลังเป็นที่นิยม
日光灯,教室装了日光灯。,The classroom has fluorescent lights installed.,ห้องเรียนติดหลอดไฟนีออน
时光,童年时光很快乐。,Childhood times were very happy.,ช่วงเวลาในวัยเด็กมีความสุขมาก
旺,他生意很旺。,His business is thriving.,กิจการของเขารุ่งเรืองมาก
