hanzi,sentence,en,th_final
再也,他再也不迟到了。,He is never late again.,เขาไม่มาสายอีกเลย
再现,这部电影再现了历史场景。,This movie recreates historical scenes.,หนังเรื่องนี้จำลองภาพเหตุการณ์ในประวัติศาสตร์ขึ้นมาใหม่
再生,这种材料可以再生利用。,This material can be recycled and reused.,วัสดุชนิดนี้นำกลับมาใช้ใหม่ได้
冒,锅里冒出阵阵热气。,Steam kept rising from the pot.,ไอร้อนพุ่งออกมาจากหม้อเป็นระยะ
军事,这是一次军事演习。,This is a military exercise.,นี่คือการซ้อมรบทางทหาร
军人,他的父亲是一名军人。,His father is a serviceman.,พ่อของเขาเป็นทหาร
军队,军队正在边境驻守。,The army is stationed at the border.,กองทัพกำลังประจำการอยู่ที่ชายแดน
农产品,市场上卖新鲜的农产品。,The market sells fresh agricultural produce.,ตลาดขายสินค้าเกษตรสดๆ
冰雪,山顶终年覆盖着冰雪。,The mountaintop is covered with ice and snow year-round.,ยอดเขาปกคลุมด้วยน้ำแข็งและหิมะตลอดทั้งปี
冲击,疫情给经济带来了冲击。,The pandemic dealt a blow to the economy.,โรคระบาดสร้างแรงกระแทกต่อเศรษฐกิจ
冲突,两人因意见不同发生冲突。,The two had a conflict due to differing opinions.,สองคนเกิดความขัดแย้งกันเพราะความเห็นไม่ตรงกัน
决心,他下定决心要成功。,He made up his mind to succeed.,เขาตัดสินใจแน่วแน่ว่าจะต้องประสบความสำเร็จ
决策,公司做出了重要决策。,The company made an important decision.,บริษัทตัดสินใจเชิงนโยบายครั้งสำคัญ
况且,外面下雨，况且天也黑了。,"It's raining outside, and besides, it's already dark.",ข้างนอกฝนตก อีกอย่างฟ้าก็มืดแล้ว
冷气,房间里的冷气很足。,The air conditioning in the room is very strong.,แอร์ในห้องเย็นฉ่ำเลย
冷水,他每天早上用冷水洗脸。,He washes his face with cold water every morning.,เขาล้างหน้าด้วยน้ำเย็นทุกเช้า
冷淡,她对这个提议很冷淡。,She was quite indifferent to this proposal.,เธอเฉยเมยกับข้อเสนอนี้มาก
冷漠,他对陌生人很冷漠。,He is very cold toward strangers.,เขาเย็นชากับคนแปลกหน้ามาก
冷酷,他表现得十分冷酷。,He appeared extremely cold-hearted.,เขาแสดงออกอย่างเลือดเย็นมาก
冷酷无情,那个反派角色冷酷无情。,That villain is cold-blooded and merciless.,ตัวร้ายคนนั้นทั้งโหดเหี้ยมทั้งไร้ความปรานี
冻,河水已经冻成了冰。,The river water has already frozen into ice.,น้ำในแม่น้ำแข็งตัวเป็นน้ำแข็งแล้ว
净,请把桌子擦干净。,Please wipe the table clean.,ช่วยเช็ดโต๊ะให้สะอาดหน่อย
净化,这台机器可以净化空气。,This machine can purify the air.,เครื่องนี้ฟอกอากาศให้บริสุทธิ์ได้
准,他说得很准。,What he said is very accurate.,สิ่งที่เขาพูดแม่นมาก
准则,诚实是做人的准则。,Honesty is a principle for being a good person.,ความซื่อสัตย์เป็นหลักในการเป็นคนดี
凉爽,秋天的天气很凉爽。,The autumn weather is cool and refreshing.,อากาศฤดูใบไม้ร่วงเย็นสบาย
减压,运动是很好的减压方式。,Exercise is a great way to relieve stress.,การออกกำลังกายเป็นวิธีคลายเครียดที่ดีมาก
减弱,风势逐渐减弱了。,The wind gradually weakened.,ลมค่อยๆ อ่อนกำลังลง
凝固,水在零度以下会凝固。,Water solidifies below zero degrees.,น้ำจะแข็งตัวเมื่ออุณหภูมิต่ำกว่าศูนย์องศา
凝聚,团队凝聚着大家的心血。,The team embodies everyone's hard work.,ทีมนี้หลอมรวมความทุ่มเทของทุกคนไว้ด้วยกัน
凭,他凭实力赢得比赛。,He won the match on sheer ability.,เขาชนะการแข่งด้วยฝีมือล้วนๆ
凭借,他凭借努力考上了大学。,He got into university through hard work.,เขาสอบเข้ามหาวิทยาลัยได้ด้วยความพยายาม
凭着,她凭着毅力坚持下来。,She persisted by relying on willpower.,เธออดทนมาได้ด้วยความมุ่งมั่น
凶,那只狗看起来很凶。,That dog looks very fierce.,หมาตัวนั้นดูดุมาก
凶手,警察终于抓住了凶手。,The police finally caught the murderer.,ตำรวจจับฆาตกรได้ในที่สุด
凶猛,老虎的攻势非常凶猛。,The tiger's attack was extremely fierce.,การจู่โจมของเสือดุร้ายมาก
出人意料,比赛结果出人意料。,The result of the match was unexpected.,ผลการแข่งขันออกมาเหนือความคาดหมาย
出入,这栋楼只有一个出入口。,This building has only one entrance and exit.,ตึกนี้มีทางเข้าออกทางเดียว
出厂,这批产品今天出厂。,This batch of products ships from the factory today.,สินค้าล็อตนี้ออกจากโรงงานวันนี้
出口,出口在前面。,The exit is ahead.,ทางออกอยู่ข้างหน้า
出土,这些文物是刚出土的。,These relics were just excavated.,โบราณวัตถุพวกนี้เพิ่งขุดขึ้นมาจากดิน
出息,父母都希望孩子有出息。,Parents all hope their children will have a bright future.,พ่อแม่ทุกคนอยากให้ลูกมีอนาคตที่ดี
出手,他很快就把旧车出手了。,He quickly sold off his old car.,เขาขายรถเก่าออกไปอย่างรวดเร็ว
出游,假期我们全家出游。,"During the holiday, our whole family went on a trip.",ช่วงวันหยุดครอบครัวเราออกไปเที่ยวกันทั้งบ้าน
出版,这本书明年出版。,This book will be published next year.,หนังสือเล่มนี้จะตีพิมพ์ปีหน้า
出版社,这本书由知名出版社出版。,This book is published by a famous publisher.,หนังสือเล่มนี้จัดพิมพ์โดยสำนักพิมพ์ชื่อดัง
出示,请出示您的护照。,Please show your passport.,กรุณาแสดงหนังสือเดินทางของคุณ
